customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
C00156,413,1,3609.2,1,1,1,3,Lost / Inactive
C00157,16,3,18512.77,4,2,2,8,Loyal Customers
C00159,5,59,1045494.21,4,4,4,12,Champions
C00160,19,10,80913.87,4,4,3,11,Champions
C00161,13,19,348873.68,4,4,4,12,Champions
C00162,75,2,12370.619999999999,2,1,2,5,At Risk
C00163,50,6,179832.21,3,3,4,10,Champions
C00164,120,3,90113.74,2,2,3,7,Potential Loyalists
C00165,42,4,10164.79,3,2,1,6,Potential Loyalists
C00166,210,2,11683.78,1,1,2,4,At Risk
C00167,388,2,253696.35,1,1,4,6,Potential Loyalists
C00168,10,21,190835.26,4,4,4,12,Champions
C00169,19,72,741768.25,4,4,4,12,Champions
C00170,56,1,21254.18,3,1,2,6,Potential Loyalists
C00171,67,7,49623.58,2,3,3,8,Loyal Customers
C00172,421,1,4097.9,1,1,1,3,Lost / Inactive
C00173,82,4,15446.38,2,2,2,6,Potential Loyalists
C00174,81,3,53512.34999999999,2,2,3,7,Potential Loyalists
C00175,27,5,36776.78999999999,3,3,2,8,Loyal Customers
C00176,36,23,113820.09999999999,3,4,3,10,Champions
C00177,39,5,57074.799999999996,3,3,3,9,Loyal Customers
C00178,166,5,47037.03,1,3,3,7,Potential Loyalists
C00179,12,1,1042.75,4,1,1,6,Potential Loyalists
C00180,259,1,6139.84,1,1,1,3,Lost / Inactive
C00181,449,1,10925.3,1,1,1,3,Lost / Inactive
C00182,216,4,56589.03,1,2,3,6,Potential Loyalists
C00183,28,16,263364.02,3,4,4,11,Champions
C00184,51,4,56708.43,3,2,3,8,Loyal Customers
C00185,2,9,75402.15,4,4,3,11,Champions
C00186,50,3,13026.99,3,2,2,7,Potential Loyalists
C00187,407,2,10092.029999999999,1,1,1,3,Lost / Inactive
C00188,4,10,58500.09,4,4,3,11,Champions
C00189,10,9,59385.950000000004,4,4,3,11,Champions
C00191,25,3,15895.24,3,2,2,7,Potential Loyalists
C00192,107,4,138943.81,2,2,4,8,Loyal Customers
C00193,217,2,11508.17,1,1,2,4,At Risk
C00194,11,25,222063.01,4,4,4,12,Champions
C00195,159,7,46938.47,2,3,3,8,Loyal Customers
C00196,374,2,8267.210000000001,1,1,1,3,Lost / Inactive
C00197,53,2,32056.04,3,1,2,6,Potential Loyalists
C00198,31,25,334456.73000000004,3,4,4,11,Champions
C00199,45,6,152408.23,3,3,4,10,Champions
C00200,148,5,45258.55,2,3,3,8,Loyal Customers
C00202,1,8,34279.82,4,3,2,9,Loyal Customers
C00203,87,4,34043.29,2,2,2,6,Potential Loyalists
C00204,208,4,42183.270000000004,1,2,3,6,Potential Loyalists
C00205,15,35,424732.52,4,4,4,12,Champions
C00207,59,4,10530.74,3,2,1,6,Potential Loyalists
C00208,273,1,2098.56,1,1,1,3,Lost / Inactive
C00209,213,2,14789.829999999998,1,1,2,4,At Risk
C00210,444,1,3147.84,1,1,1,3,Lost / Inactive
C00211,9,14,242031.88,4,4,4,12,Champions
C00212,96,4,15872.17,2,2,2,6,Potential Loyalists
C00213,2,8,131816.8,4,3,3,10,Champions
C00214,23,12,364716.43,3,4,4,11,Champions
C00215,8,57,824994.64,4,4,4,12,Champions
C00216,51,1,3155.46,3,1,1,5,At Risk
C00217,126,5,53227.119999999995,2,3,3,8,Loyal Customers
C00219,156,1,11296.74,2,1,2,5,At Risk
C00220,259,3,31525.879999999997,1,2,2,5,At Risk
C00221,146,3,6242.4400000000005,2,2,1,5,At Risk
C00222,375,1,4436.96,1,1,1,3,Lost / Inactive
C00223,15,1,9466.38,4,1,1,6,Potential Loyalists
C00224,75,5,79834.99,2,3,3,8,Loyal Customers
C00225,345,2,201249.66,1,1,4,6,Potential Loyalists
C00226,289,1,1404.69,1,1,1,3,Lost / Inactive
C00227,126,4,39326.869999999995,2,2,3,7,Potential Loyalists
C00228,126,2,17250.63,2,1,2,5,At Risk
C00230,11,3,19859.159999999996,4,2,2,8,Loyal Customers
C00231,18,9,262701.19,4,4,4,12,Champions
C00234,397,2,2804.4700000000003,1,1,1,3,Lost / Inactive
C00235,299,1,1895.66,1,1,1,3,Lost / Inactive
C00236,211,4,10296.31,1,2,1,4,At Risk
C00237,326,1,1389.96,1,1,1,3,Lost / Inactive
C00238,194,5,90537.02,1,3,3,7,Potential Loyalists
C00239,440,1,4197.12,1,1,1,3,Lost / Inactive
C00240,1,44,597407.05,4,4,4,12,Champions
C00241,99,6,50839.32,2,3,3,8,Loyal Customers
C00242,164,7,208125.78,2,3,4,9,Loyal Customers
C00243,126,1,5107.66,2,1,1,4,At Risk
C00244,6,131,1781202.1400000001,4,4,4,12,Champions
C00245,5,36,972198.65,4,4,4,12,Champions
C00246,120,5,77716.51999999999,2,3,3,8,Loyal Customers
C00247,93,1,10816.76,2,1,1,4,At Risk
C00248,220,1,4177.94,1,1,1,3,Lost / Inactive
C00249,34,3,16335.480000000001,3,2,2,7,Potential Loyalists
C00250,5,4,7467.96,4,2,1,7,Potential Loyalists
C00251,174,3,9578.46,1,2,1,4,At Risk
C00252,10,17,172913.49,4,4,4,12,Champions
C00253,95,7,21389.42,2,3,2,7,Potential Loyalists
C00254,30,11,290316.7,3,4,4,11,Champions
C00255,178,2,29776.280000000002,1,1,2,4,At Risk
C00256,33,7,39912.83,3,3,3,9,Loyal Customers
C00257,116,2,68199.31999999999,2,1,3,6,Potential Loyalists
C00258,109,4,47670.69,2,2,3,7,Potential Loyalists
C00259,77,6,198900.5,2,3,4,9,Loyal Customers
C00260,84,4,20369.14,2,2,2,6,Potential Loyalists
C00261,7,13,90779.73,4,4,3,11,Champions
C00262,149,1,18075.48,2,1,2,5,At Risk
C00263,124,3,236108.75,2,2,4,8,Loyal Customers
C00264,165,2,13346.74,1,1,2,4,At Risk
C00265,15,6,181631.31,4,3,4,11,Champions
C00266,109,4,29962.520000000004,2,2,2,6,Potential Loyalists
C00267,10,4,12636.16,4,2,2,8,Loyal Customers
C00268,56,1,12879.95,3,1,2,6,Potential Loyalists
C00269,261,1,16368.21,1,1,2,4,At Risk
C00270,15,16,113775.29000000001,4,4,3,11,Champions
C00271,230,1,31881.27,1,1,2,4,At Risk
C00272,21,10,95852.36,4,4,3,11,Champions
C00274,39,2,12478.199999999999,3,1,2,6,Potential Loyalists
C00275,66,3,11208.78,2,2,2,6,Potential Loyalists
C00276,168,5,116871.18,1,3,3,7,Potential Loyalists
C00277,363,1,4854.0,1,1,1,3,Lost / Inactive
C00278,10,6,55781.65,4,3,3,10,Champions
C00279,200,2,3641.33,1,1,1,3,Lost / Inactive
C00280,187,3,18172.28,1,2,2,5,At Risk
C00281,54,3,40940.28,3,2,3,8,Loyal Customers
C00282,52,10,53266.64,3,4,3,10,Champions
C00283,11,14,283394.19,4,4,4,12,Champions
C00284,367,1,53135.45,1,1,3,5,At Risk
C00287,13,37,741284.2400000001,4,4,4,12,Champions
C00288,3,8,112078.54000000001,4,3,3,10,Champions
C00290,77,1,10042.58,2,1,1,4,At Risk
C00291,292,1,2476.94,1,1,1,3,Lost / Inactive
C00292,52,3,16436.94,3,2,2,7,Potential Loyalists
C00293,66,6,30869.63,2,3,2,7,Potential Loyalists
C00294,258,3,13310.05,1,2,2,5,At Risk
C00295,28,17,269574.15,3,4,4,11,Champions
C00296,86,3,6441.11,2,2,1,5,At Risk
C00298,81,5,38907.33,2,3,3,8,Loyal Customers
C00299,29,2,134269.21,3,1,3,7,Potential Loyalists
C00300,1,24,315357.9,4,4,4,12,Champions
C00301,315,1,3098.49,1,1,1,3,Lost / Inactive
C00302,316,1,1213.96,1,1,1,3,Lost / Inactive
C00303,50,6,31317.33,3,3,2,8,Loyal Customers
C00304,131,7,36206.89,2,3,2,7,Potential Loyalists
C00305,132,2,7106.59,2,1,1,4,At Risk
C00306,9,66,878672.9,4,4,4,12,Champions
C00307,170,1,3867.97,1,1,1,3,Lost / Inactive
C00308,403,1,2146.31,1,1,1,3,Lost / Inactive
C00309,14,14,171574.94,4,4,4,12,Champions
C00311,50,2,204451.24,3,1,4,8,Loyal Customers
C00312,228,4,65753.36,1,2,3,6,Potential Loyalists
C00313,153,1,606.3,2,1,1,4,At Risk
C00314,1,48,1370662.86,4,4,4,12,Champions
C00315,14,5,11584.33,4,3,2,9,Loyal Customers
C00316,8,7,110128.73000000001,4,3,3,10,Champions
C00318,132,1,265.45,2,1,1,4,At Risk
C00319,2,3,12834.32,4,2,2,8,Loyal Customers
C00320,280,2,50888.19,1,1,3,5,At Risk
C00321,9,11,368021.92000000004,4,4,4,12,Champions
C00322,157,2,1933.9699999999998,2,1,1,4,At Risk
C00323,29,2,5453.29,3,1,1,5,At Risk
C00324,9,4,326505.38,4,2,4,10,Champions
C00325,56,5,116051.09,3,3,3,9,Loyal Customers
C00326,43,7,97267.23,3,3,3,9,Loyal Customers
C00327,81,1,10925.3,2,1,1,4,At Risk
C00330,164,4,18244.120000000003,2,2,2,6,Potential Loyalists
C00331,66,12,281104.52,2,4,4,10,Champions
C00333,5,20,144040.63,4,4,4,12,Champions
C00334,41,3,69417.38,3,2,3,8,Loyal Customers
C00335,6,24,318598.21,4,4,4,12,Champions
C00336,87,1,936.62,2,1,1,4,At Risk
C00337,8,25,184342.97,4,4,4,12,Champions
C00338,251,1,70231.8,1,1,3,5,At Risk
C00339,25,6,46819.57,3,3,3,9,Loyal Customers
C00340,3,19,82515.24,4,4,3,11,Champions
C00343,27,9,248285.94,3,4,4,11,Champions
C00344,3,6,12762.7,4,3,2,9,Loyal Customers
C00345,24,8,44045.94,3,3,3,9,Loyal Customers
C00347,3,11,387796.47,4,4,4,12,Champions
C00349,1,19,103882.86,4,4,3,11,Champions
C00350,111,5,13567.37,2,3,2,7,Potential Loyalists
C00351,56,8,94239.54000000001,3,3,3,9,Loyal Customers
C00352,44,2,65930.2,3,1,3,7,Potential Loyalists
C00353,13,13,81138.5,4,4,3,11,Champions
C00354,16,11,193145.53,4,4,4,12,Champions
C00355,17,11,84131.1,4,4,3,11,Champions
C00356,244,1,21850.6,1,1,2,4,At Risk
C00357,22,8,34599.84,4,3,2,9,Loyal Customers
C00358,7,8,71237.41,4,3,3,10,Champions
C00359,72,1,624.76,2,1,1,4,At Risk
C00360,184,2,3176.54,1,1,1,3,Lost / Inactive
C00361,143,1,219948.28,2,1,4,7,Potential Loyalists
C00362,36,4,193093.05,3,2,4,9,Loyal Customers
C00363,17,5,18962.379999999997,4,3,2,9,Loyal Customers
C00364,12,3,193246.27,4,2,4,10,Champions
C00365,196,1,4236.3,1,1,1,3,Lost / Inactive
C00366,13,2,7408.49,4,1,1,6,Potential Loyalists
C00367,5,1,2631.35,4,1,1,6,Potential Loyalists
C00368,23,8,153683.68,3,3,4,10,Champions
C00369,22,23,362925.08999999997,4,4,4,12,Champions
C00370,115,2,9741.060000000001,2,1,1,4,At Risk
C00371,428,1,1161.09,1,1,1,3,Lost / Inactive
C00372,29,3,60802.03999999999,3,2,3,8,Loyal Customers
C00373,34,8,43567.729999999996,3,3,3,9,Loyal Customers
C00374,75,2,59725.02,2,1,3,6,Potential Loyalists
C00375,64,3,58702.39,3,2,3,8,Loyal Customers
C00376,179,2,60910.100000000006,1,1,3,5,At Risk
C00377,92,11,180033.58000000002,2,4,4,10,Champions
C00378,222,2,7894.7,1,1,1,3,Lost / Inactive
C00379,13,1,150593.67,4,1,4,9,Loyal Customers
C00380,360,1,3766.1,1,1,1,3,Lost / Inactive
C00381,456,1,10678.56,1,1,1,3,Lost / Inactive
C00382,217,2,8257.67,1,1,1,3,Lost / Inactive
C00383,63,6,78561.4,3,3,3,9,Loyal Customers
C00384,16,24,587017.68,4,4,4,12,Champions
C00385,236,2,8509.0,1,1,1,3,Lost / Inactive
C00386,8,51,725474.21,4,4,4,12,Champions
C00387,26,4,14238.16,3,2,2,7,Potential Loyalists
C00388,225,1,1042.75,1,1,1,3,Lost / Inactive
C00389,22,9,214579.58000000002,4,4,4,12,Champions
C00390,49,5,35957.14,3,3,2,8,Loyal Customers
C00391,96,4,18169.48,2,2,2,6,Potential Loyalists
C00392,2,8,452604.92,4,3,4,11,Champions
C00393,169,6,260869.17,1,3,4,8,Loyal Customers
C00394,132,3,6454.24,2,2,1,5,At Risk
C00395,28,14,278818.34,3,4,4,11,Champions
C00396,309,1,6139.84,1,1,1,3,Lost / Inactive
C00397,13,6,130680.9,4,3,3,10,Champions
C00398,61,11,98515.82,3,4,3,10,Champions
C00399,29,6,196537.02,3,3,4,10,Champions
C00400,148,1,4103.75,2,1,1,4,At Risk
C00401,25,10,275726.38,3,4,4,11,Champions
C00402,203,1,21824.28,1,1,2,4,At Risk
C00403,86,6,76634.33,2,3,3,8,Loyal Customers
C00404,36,18,92884.44,3,4,3,10,Champions
C00405,229,3,19925.86,1,2,2,5,At Risk
C00407,74,2,6024.0199999999995,2,1,1,4,At Risk
C00408,269,3,7167.150000000001,1,2,1,4,At Risk
C00409,4,22,418134.32,4,4,4,12,Champions
C00410,153,5,38212.16,2,3,3,8,Loyal Customers
C00411,43,2,3760.0499999999997,3,1,1,5,At Risk
C00412,8,7,58742.83,4,3,3,10,Champions
C00413,61,8,49780.14,3,3,3,9,Loyal Customers
C00414,121,3,20019.25,2,2,2,6,Potential Loyalists
C00415,28,5,38222.119999999995,3,3,3,9,Loyal Customers
C00416,159,2,4137.52,2,1,1,4,At Risk
C00417,7,10,94844.35,4,4,3,11,Champions
C00418,26,1,11092.4,3,1,2,6,Potential Loyalists
C00419,227,2,5077.34,1,1,1,3,Lost / Inactive
C00420,27,7,65666.59000000001,3,3,3,9,Loyal Customers
C00421,138,3,36501.479999999996,2,2,2,6,Potential Loyalists
C00422,108,3,17307.47,2,2,2,6,Potential Loyalists
C00423,44,22,492101.63,3,4,4,11,Champions
C00424,5,9,57754.64,4,4,3,11,Champions
C00425,211,1,969.56,1,1,1,3,Lost / Inactive
C00426,56,5,81284.12,3,3,3,9,Loyal Customers
C00427,21,17,183588.54,4,4,4,12,Champions
C00428,157,3,7270.83,2,2,1,5,At Risk
C00429,163,3,15104.109999999999,2,2,2,6,Potential Loyalists
C00430,236,3,31600.56,1,2,2,5,At Risk
C00431,13,8,334507.05000000005,4,3,4,11,Champions
C00432,16,14,77707.24,4,4,3,11,Champions
C00433,52,2,3741.6400000000003,3,1,1,5,At Risk
C00434,33,4,274525.08,3,2,4,9,Loyal Customers
C00436,101,10,63214.75,2,4,3,9,Loyal Customers
C00437,18,24,208459.98,4,4,4,12,Champions
C00438,388,2,10875.89,1,1,1,3,Lost / Inactive
C00439,182,3,153094.66,1,2,4,7,Potential Loyalists
C00440,128,1,1746.02,2,1,1,4,At Risk
C00441,10,5,48925.18,4,3,3,10,Champions
C00442,220,4,147540.32,1,2,4,7,Potential Loyalists
C00443,212,3,33816.88,1,2,2,5,At Risk
C00444,44,17,308110.98,3,4,4,11,Champions
C00445,15,6,24058.829999999998,4,3,2,9,Loyal Customers
C00446,163,3,13755.96,2,2,2,6,Potential Loyalists
C00447,30,7,19100.55,3,3,2,8,Loyal Customers
C00448,19,17,142502.03999999998,4,4,4,12,Champions
C00449,118,1,7281.0,2,1,1,4,At Risk
C00451,215,2,30850.25,1,1,2,4,At Risk
C00452,13,5,8813.47,4,3,1,8,Loyal Customers
C00453,38,14,150131.69,3,4,4,11,Champions
C00455,64,7,82816.04000000001,3,3,3,9,Loyal Customers
C00456,33,13,51511.17,3,4,3,10,Champions
C00457,128,4,30976.42,2,2,2,6,Potential Loyalists
C00458,9,10,75931.33,4,4,3,11,Champions
C00459,271,1,606.98,1,1,1,3,Lost / Inactive
C00461,18,17,176071.38999999998,4,4,4,12,Champions
C00462,164,3,12350.86,2,2,2,6,Potential Loyalists
C00463,264,1,910.47,1,1,1,3,Lost / Inactive
C00464,21,8,145015.36000000002,4,3,4,11,Champions
C00465,19,12,107082.95,4,4,3,11,Champions
C00466,52,5,74828.73,3,3,3,9,Loyal Customers
C00467,60,2,4270.21,3,1,1,5,At Risk
C00468,78,3,182996.83000000002,2,2,4,8,Loyal Customers
C00469,7,10,223297.12,4,4,4,12,Champions
C00470,219,1,23195.79,1,1,2,4,At Risk
C00471,1,1,2476.94,4,1,1,6,Potential Loyalists
C00472,76,4,132781.47,2,2,3,7,Potential Loyalists
C00473,40,4,28846.4,3,2,2,7,Potential Loyalists
C00474,151,3,190026.5,2,2,4,8,Loyal Customers
C00478,127,2,7305.35,2,1,1,4,At Risk
C00479,39,6,55846.69,3,3,3,9,Loyal Customers
C00480,63,3,244858.12,3,2,4,9,Loyal Customers
C00481,53,8,57688.01,3,3,3,9,Loyal Customers
C00482,316,2,37430.270000000004,1,1,3,5,At Risk
C00483,46,1,24489.45,3,1,2,6,Potential Loyalists
C00484,114,1,10627.09,2,1,1,4,At Risk
C00485,166,2,324920.86,1,1,4,6,Potential Loyalists
C00487,56,2,13822.38,3,1,2,6,Potential Loyalists
C00488,2,91,1479902.6400000001,4,4,4,12,Champions
C00489,67,1,484.78,2,1,1,4,At Risk
C00490,43,22,256636.01,3,4,4,11,Champions
C00491,99,2,5926.039999999999,2,1,1,4,At Risk
C00492,14,4,25252.53,4,2,2,8,Loyal Customers
C00493,76,5,15177.05,2,3,2,7,Potential Loyalists
C00494,105,1,687.15,2,1,1,4,At Risk
C00495,45,4,20179.53,3,2,2,7,Potential Loyalists
C00496,6,41,488011.35,4,4,4,12,Champions
C00497,29,8,366192.38,3,3,4,10,Champions
C00499,429,1,8008.92,1,1,1,3,Lost / Inactive
C00500,18,16,264435.09,4,4,4,12,Champions
C00501,50,10,195644.18000000002,3,4,4,11,Champions
C00502,27,3,8377.08,3,2,1,6,Potential Loyalists
C00503,185,3,12581.29,1,2,2,5,At Risk
C00504,34,13,218211.88,3,4,4,11,Champions
C00505,50,4,123554.27,3,2,3,8,Loyal Customers
C00506,22,5,35032.54,4,3,2,9,Loyal Customers
C00507,33,2,26558.44,3,1,2,6,Potential Loyalists
C00508,4,3,9664.2,4,2,1,7,Potential Loyalists
C00509,167,4,12863.009999999998,1,2,2,5,At Risk
C00510,40,16,88108.28,3,4,3,10,Champions
C00511,14,7,81770.19,4,3,3,10,Champions
C00512,198,4,191882.8,1,2,4,7,Potential Loyalists
C00513,6,2,28819.69,4,1,2,7,Potential Loyalists
C00514,132,3,28984.079999999998,2,2,2,6,Potential Loyalists
C00515,19,3,14299.16,4,2,2,8,Loyal Customers
C00516,163,4,11426.39,2,2,2,6,Potential Loyalists
C00517,38,4,16316.15,3,2,2,7,Potential Loyalists
C00520,31,7,247655.21999999997,3,3,4,10,Champions
C00521,1,5,215770.52000000002,4,3,4,11,Champions
C00522,58,7,95816.87000000001,3,3,3,9,Loyal Customers
C00523,213,1,25106.45,1,1,2,4,At Risk
C00524,81,6,128559.36,2,3,3,8,Loyal Customers
C00525,132,5,21412.48,2,3,2,7,Potential Loyalists
C00526,326,2,17385.120000000003,1,1,2,4,At Risk
C00527,192,1,9708.0,1,1,1,3,Lost / Inactive
C00528,21,5,56024.520000000004,4,3,3,10,Champions
C00529,408,1,3459.88,1,1,1,3,Lost / Inactive
C00530,20,3,8374.25,4,2,1,7,Potential Loyalists
C00531,3,44,723061.27,4,4,4,12,Champions
C00532,45,1,88643.3,3,1,3,7,Potential Loyalists
C00533,23,8,16664.420000000002,3,3,2,8,Loyal Customers
C00534,76,4,20833.99,2,2,2,6,Potential Loyalists
C00535,110,1,9419.2,2,1,1,4,At Risk
C00536,324,1,1729.94,1,1,1,3,Lost / Inactive
C00537,1,6,16405.1,4,3,2,9,Loyal Customers
C00538,67,5,38367.18,2,3,3,8,Loyal Customers
C00539,161,3,27484.29,2,2,2,6,Potential Loyalists
C00540,11,24,341271.41,4,4,4,12,Champions
C00541,17,3,4374.42,4,2,1,7,Potential Loyalists
