marketing_id,date,channel,spend,impressions,clicks,conversions
M000089,2024-01-08,Instagram,39193.27,112894,3516,191
M000090,2023-01-12,Instagram,17689.66,114315,7451,250
M000091,2022-03-28,Google Ads,18225.02,285081,12890,227
M000092,2023-02-16,Email,23753.84,20900,1242,198
M000093,2023-02-11,Instagram,5988.11,198318,3111,66
M000094,2022-09-24,Google Ads,27352.26,94416,5957,202
M000095,2026-04-15,Direct,27216.23,185353,9556,52
M000096,2025-01-06,Affiliate,13604.75,195739,7456,242
M000097,2025-12-04,Organic Search,2667.12,25285,13365,226
M000098,2026-05-19,Organic Search,22996.48,218948,3713,189
M000099,2023-02-01,Organic Search,7466.04,261941,13483,85
M000100,2026-08-21,Instagram,36026.99,37120,8500,208
M000101,2025-11-26,Google Ads,4585.11,134594,7947,241
M000102,2022-10-19,Google Ads,26800.84,277716,13453,162
M000103,2022-02-19,Google Ads,19209.65,91418,12063,129
M000104,2022-10-01,Referral,27166.32,274722,3907,24
M000105,2023-02-19,Email,2150.93,173125,3719,133
M000106,2026-03-14,Email,40289.5,167965,7236,180
M000107,2023-02-28,Direct,24928.28,38316,5257,129
M000108,2025-03-28,Organic Search,17483.63,174882,6481,21
M000109,2022-08-13,Referral,4589.42,36978,6206,182
M000110,2025-09-05,Instagram,4190.1,123534,11413,10
M000111,2023-04-12,Organic Search,5870.98,152127,2572,56
M000112,2023-05-13,Email,27988.69,152793,4085,186
M000113,2024-01-21,Affiliate,27497.8,72674,7588,218
M000114,2022-11-28,Google Ads,23938.24,160529,4002,50
M000115,2024-05-30,Google Ads,34697.69,212348,13697,229
M000116,2022-04-13,Google Ads,40528.27,272909,9808,26
M000117,2026-06-04,Affiliate,31180.07,261409,3450,46
M000118,2023-03-07,Organic Search,17939.11,148622,9396,208
M000119,2026-04-28,Referral,33257.76,256869,2820,84
M000120,2022-08-11,Affiliate,21239.53,16862,11958,170
M000121,2023-04-16,Affiliate,36434.75,87309,11291,129
M000122,2024-01-20,Meta Ads,19823.52,136840,2740,93
M000123,2023-09-29,Direct,12685.2,34447,12587,250
M000124,2023-05-04,Affiliate,40682.64,266629,10133,196
M000125,2024-06-26,Email,28493.06,105353,5303,207
M000126,2025-06-08,Meta Ads,34507.85,89043,11618,197
M000127,2022-03-05,Direct,4583.97,224663,13472,57
M000128,2025-11-13,Direct,28984.43,285743,8538,13
M000129,2024-03-28,Affiliate,31662.97,277472,848,42
M000130,2023-06-26,Email,18185.84,220591,2629,213
M000131,2023-03-06,Instagram,10407.91,16380,12250,84
M000132,2024-10-26,Email,23539.49,166993,8467,55
M000133,2022-04-15,Direct,13886.26,187303,190,120
M000134,2023-11-06,Affiliate,23851.07,16564,2551,183
M000135,2022-11-29,Meta Ads,22738.36,93325,10971,162
M000136,2023-04-13,Google Ads,17145.17,79905,1911,44
M000137,2023-03-17,Organic Search,24329.88,9479,4529,54
M000138,2023-05-24,Referral,8430.53,35565,5687,247
M000139,2025-08-23,Direct,29125.77,218299,4181,255
M000140,2025-06-19,Organic Search,26494.2,112074,1556,186
M000141,2024-01-30,Google Ads,25549.29,254692,12877,248
M000142,2022-02-22,Direct,18375.09,159957,13462,259
M000143,2025-03-14,Google Ads,26314.91,89065,8119,165
M000144,2024-05-31,Email,40853.68,202293,11021,239
M000145,2022-12-11,Instagram,26410.86,6812,8975,30
M000146,2022-12-22,Google Ads,28757.31,6538,12142,160
M000147,2025-03-19,Affiliate,29579.52,193570,2066,215
M000148,2025-04-10,Email,19988.4,35825,13282,150
M000149,2026-05-24,Instagram,19906.29,263971,3199,45
M000150,2025-03-28,Direct,18179.99,171662,13820,127
M000151,2024-02-08,Google Ads,29003.19,95740,8918,82
M000152,2023-01-30,Direct,12213.51,106663,9444,12
M000153,2022-12-07,Google Ads,29546.05,182279,3286,189
M000154,2025-08-24,Meta Ads,10732.01,134030,4103,36
M000155,2022-04-21,Email,7720.29,107104,13313,56
M000156,2022-10-12,Organic Search,34455.19,74178,13257,6
M000157,2025-07-04,Email,26158.42,220705,13660,76
M000158,2023-06-17,Affiliate,24235.37,12319,7812,222
M000159,2025-05-23,Instagram,17869.81,43791,5577,8
M000160,2023-06-17,Direct,22409.62,10864,5333,95
M000161,2023-12-15,Organic Search,15327.12,51148,10874,87
M000162,2025-06-21,Instagram,8892.02,263615,2527,186
M000163,2025-08-10,Email,30725.41,225357,11741,103
M000164,2026-01-25,Meta Ads,34930.27,187466,5191,60
M000165,2024-06-02,Affiliate,41362.26,201468,4753,12
M000166,2026-04-20,Email,24493.83,225105,8432,65
M000167,2022-05-08,Referral,31451.97,287056,9110,160
M000168,2025-06-02,Direct,8975.7,74312,6169,177
M000169,2024-05-09,Instagram,4771.49,109519,6220,143
M000170,2026-01-28,Email,1819.68,274767,2319,211
M000171,2025-11-07,Instagram,32067.44,65249,11757,161
M000172,2023-11-11,Affiliate,33632.2,285072,12994,195
M000173,2025-08-13,Direct,8101.78,263778,10972,258
M000174,2023-05-31,Google Ads,41392.2,58031,10470,199
M000175,2023-04-25,Organic Search,39458.47,94440,13309,105
M000176,2024-10-18,Affiliate,32033.07,291781,13840,116
M000177,2025-12-27,Instagram,41547.77,134897,3623,236
M000178,2024-12-09,Instagram,33200.5,138145,4210,61
M000179,2024-06-07,Instagram,13070.56,157403,2167,233
M000180,2024-08-21,Referral,12092.28,55734,10224,4
M000181,2026-02-21,Referral,40573.49,157875,8705,54
M000182,2023-07-27,Direct,11259.04,114757,2619,258
M000183,2022-03-20,Affiliate,20181.3,227580,9725,190
M000184,2025-10-11,Google Ads,32917.08,146123,1776,185
M000185,2026-01-07,Email,7565.72,233095,13681,130
M000186,2026-01-06,Referral,9508.72,231534,4821,180
M000187,2025-02-03,Email,40943.91,172882,3491,230
M000188,2022-02-09,Meta Ads,38659.06,288257,12979,2
M000189,2023-12-01,Direct,20876.78,224335,13034,190
M000190,2026-06-12,Organic Search,8051.3,76013,13236,10
M000191,2025-11-23,Organic Search,27249.56,80675,4683,142
M000192,2025-10-22,Organic Search,21136.59,79204,7978,118
M000193,2023-02-21,Referral,30554.75,91817,10914,105
M000194,2025-12-20,Referral,27634.12,209621,1506,155
M000195,2026-04-28,Organic Search,11906.81,127441,1497,123
M000196,2022-08-07,Affiliate,7440.32,100653,4697,195
M000197,2023-11-19,Direct,15849.2,8878,3090,12
M000198,2024-11-04,Email,19415.02,235236,508,195
M000199,2022-02-25,Instagram,30789.69,27629,1470,149
M000200,2022-04-22,Referral,10074.27,233844,6424,155
M000201,2026-01-30,Instagram,7476.31,250087,12473,47
M000202,2025-07-19,Email,35478.91,267252,13634,163
M000203,2026-01-24,Organic Search,34515.97,96656,4593,247
M000204,2022-12-29,Direct,16828.7,162787,4923,207
M000205,2024-10-16,Google Ads,6899.78,169881,2153,55
M000206,2023-06-17,Instagram,33947.8,234720,11192,50
M000207,2022-04-14,Direct,8680.38,29841,9977,66
M000208,2025-04-20,Google Ads,8597.6,14829,1861,226
M000209,2024-11-21,Instagram,33991.12,238395,13606,80
M000210,2024-05-12,Meta Ads,23550.34,199730,5127,49
M000211,2023-06-24,Email,41380.11,270319,8593,105
M000212,2023-11-03,Meta Ads,14292.56,65863,7864,31
M000213,2025-12-06,Google Ads,2388.3,284015,392,37
M000214,2026-01-31,Direct,25352.3,254933,6661,113
M000215,2024-12-20,Meta Ads,20930.09,223940,2468,49
M000216,2025-06-02,Google Ads,15325.97,260445,8591,153
M000217,2025-06-12,Email,6959.7,203437,2063,45
M000218,2024-01-20,Instagram,16864.51,240884,9285,127
M000219,2025-10-14,Direct,4058.49,134394,5871,90
M000220,2025-12-14,Direct,22676.01,219831,11887,171
M000221,2022-04-19,Meta Ads,13374.13,236776,12947,78
M000222,2023-10-02,Referral,20772.08,105038,9521,157
M000223,2025-08-25,Instagram,38654.2,59625,12791,256
M000224,2026-01-31,Email,22336.62,253327,13108,92
M000225,2026-04-08,Direct,9506.48,70027,505,81
M000226,2024-02-03,Email,40090.6,10767,1153,246
M000227,2025-11-27,Google Ads,22513.84,136707,8839,24
M000228,2022-10-02,Instagram,38446.31,186703,12330,134
M000229,2023-01-29,Instagram,24868.99,193961,11154,123
M000230,2024-05-22,Email,29035.52,170317,1233,207
M000231,2025-03-09,Organic Search,38003.46,130990,12501,144
M000232,2025-08-09,Meta Ads,21601.45,147832,2078,215
M000233,2023-07-05,Email,34666.62,255591,1373,221
M000234,2024-12-05,Referral,33394.13,135782,9325,105
M000235,2026-05-18,Direct,41658.33,187087,2978,165
M000236,2026-05-03,Affiliate,12003.5,62775,8025,2
M000237,2025-06-14,Organic Search,10353.81,198507,1470,218
M000238,2023-07-02,Email,32981.91,134353,1228,45
M000239,2023-11-25,Instagram,15289.51,40417,12274,141
M000240,2025-02-13,Direct,8536.26,159933,5716,158
M000241,2022-11-27,Meta Ads,22049.81,148617,4024,134
M000242,2023-04-27,Google Ads,40218.38,284905,10553,118
M000243,2024-11-22,Email,5254.14,97776,7589,56
M000244,2023-08-17,Instagram,15413.87,260023,5102,146
M000245,2024-01-08,Referral,28973.71,85699,10582,31
M000246,2023-01-11,Google Ads,26323.99,106591,6223,150
M000247,2023-10-12,Referral,10364.54,276036,12467,174
M000248,2022-03-04,Organic Search,18844.93,63288,3155,194
M000249,2024-04-13,Meta Ads,8292.83,160706,11177,80
M000250,2023-05-24,Direct,6079.01,167480,11842,217
M000251,2025-03-23,Email,36724.68,229146,2304,64
M000252,2022-12-12,Meta Ads,27270.29,123107,8518,232
M000253,2023-11-09,Referral,11205.22,199641,9530,62
M000254,2025-09-10,Google Ads,21045.88,285131,1189,75
M000255,2022-09-26,Meta Ads,13718.02,277209,1243,230
M000256,2025-02-14,Email,21606.56,123390,12245,193
M000257,2023-02-15,Email,13158.12,141624,10892,151
M000258,2026-08-21,Instagram,22432.75,150335,10567,88
M000259,2026-02-13,Affiliate,34247.35,277682,8687,46
M000260,2024-01-03,Email,29324.46,54317,9818,142
M000261,2023-09-11,Direct,5932.08,11582,6904,169
M000262,2026-02-27,Email,19598.79,78647,7534,12
M000263,2026-06-24,Instagram,35968.16,171837,11702,102
M000264,2026-01-07,Affiliate,2110.78,15136,9611,102
M000265,2022-04-16,Instagram,6249.52,83668,7011,72
M000266,2026-01-29,Google Ads,36841.85,206914,11144,254
M000267,2025-09-07,Referral,24217.87,183618,10836,96
M000268,2022-08-31,Google Ads,4622.39,180043,10582,9
M000269,2026-05-10,Instagram,27253.09,174699,12550,55
M000270,2022-07-16,Meta Ads,20391.94,90007,6728,151
M000271,2025-12-25,Google Ads,15597.67,54874,280,50
M000272,2024-07-19,Direct,7100.08,49756,3300,170
M000273,2024-10-05,Meta Ads,17743.82,142150,3773,145
M000274,2022-07-24,Email,2620.65,184776,13554,179
M000275,2023-12-20,Referral,40845.05,282498,8033,30
M000276,2023-05-20,Meta Ads,6978.54,85341,12435,128
M000277,2023-04-08,Affiliate,18465.23,272950,1428,153
M000278,2026-07-14,Organic Search,28471.19,237155,12860,208
M000279,2024-05-03,Meta Ads,5220.09,274958,2255,167
M000280,2023-07-14,Referral,12836.87,245869,11418,252
M000281,2022-10-18,Organic Search,1674.03,194244,4444,256
M000282,2026-08-30,Meta Ads,36366.71,14762,2529,179
M000283,2026-01-16,Direct,13236.29,265147,11661,53
M000284,2022-08-04,Google Ads,1591.93,134121,3049,71
M000285,2024-08-20,Organic Search,15190.33,32507,4785,247
M000286,2024-07-29,Referral,4353.89,188563,2493,101
M000287,2026-08-14,Email,10744.41,192991,10091,205
M000288,2024-01-01,Instagram,37336.72,96350,1972,109
M000289,2025-02-12,Referral,23150.69,55996,11336,192
M000290,2025-01-15,Organic Search,12758.44,152567,1046,73
M000291,2025-05-11,Direct,37620.13,167107,5251,29
M000292,2026-06-15,Direct,26014.37,200726,3311,239
M000293,2022-10-30,Google Ads,37792.31,162645,1428,154
M000294,2026-08-22,Direct,26829.23,63777,12881,190
M000295,2024-07-02,Referral,5184.61,87742,9536,212
M000296,2025-01-01,Email,27206.55,224977,7395,253
M000297,2024-06-22,Email,23275.42,42350,4965,12
M000298,2025-08-10,Referral,36496.12,192333,248,36
M000299,2022-10-20,Meta Ads,5248.77,81667,2077,98
M000300,2023-11-22,Affiliate,35132.99,160929,5094,249
M000301,2022-01-19,Instagram,33152.6,72305,1961,116
M000302,2025-05-11,Referral,13925.81,195697,5733,85
M000303,2022-08-31,Email,15462.2,262002,6249,168
M000304,2026-02-18,Organic Search,17532.6,202878,11551,84
M000305,2024-07-14,Affiliate,5732.59,193053,6967,209
M000306,2026-05-15,Meta Ads,3553.55,61970,8026,152
M000307,2023-06-18,Google Ads,9241.05,174218,2467,34
M000308,2024-06-25,Google Ads,10185.51,61726,1063,24
M000309,2023-07-03,Organic Search,18819.45,58405,5596,230
M000310,2026-03-07,Instagram,11341.64,179524,7414,108
M000311,2025-06-28,Referral,28082.97,217729,7214,198
M000312,2026-01-09,Meta Ads,12715.09,245559,12838,75
M000313,2025-09-10,Direct,8551.8,74977,6334,110
M000314,2023-06-15,Referral,30359.5,21951,1224,8
M000315,2024-07-20,Organic Search,23455.02,166028,1612,257
M000316,2026-06-23,Google Ads,9511.46,205708,12515,57
M000317,2022-09-09,Email,40871.19,81071,13460,79
M000318,2025-09-09,Affiliate,23103.32,211349,3345,212
M000319,2025-08-24,Referral,32405.47,147328,8563,83
M000320,2023-11-05,Meta Ads,36643.08,190888,10183,199
M000321,2022-12-07,Meta Ads,16030.04,63612,10502,210
M000322,2025-09-09,Meta Ads,36506.15,284835,3566,50
M000323,2022-06-28,Affiliate,16652.73,158569,12073,56
M000324,2023-11-25,Direct,40430.98,282701,8458,116
M000325,2022-08-11,Direct,2406.48,107453,13452,38
M000326,2024-04-30,Direct,16252.4,281688,8022,121
M000327,2022-03-31,Affiliate,40685.74,78970,7696,51
M000328,2025-03-10,Email,29413.76,260917,5938,111
M000329,2025-03-23,Direct,18298.31,28987,13069,74
M000330,2025-03-03,Organic Search,41461.52,200822,134,29
M000331,2026-04-01,Email,27262.53,288734,9624,210
M000332,2022-12-10,Google Ads,25581.71,164681,5756,146
M000333,2026-08-31,Email,13344.91,167950,2866,37
M000334,2025-03-05,Organic Search,35542.49,134813,8563,66
M000335,2025-09-01,Email,19691.24,83521,8214,190
M000336,2026-08-07,Instagram,31996.21,224340,10895,139
M000337,2026-02-01,Instagram,35872.33,51048,2741,127
M000338,2024-01-27,Affiliate,38734.3,44248,11683,144
M000339,2024-02-20,Meta Ads,20116.48,177751,12633,83
M000340,2024-02-05,Meta Ads,24343.3,154467,9665,99
M000341,2025-03-17,Affiliate,7953.64,128849,13945,219
M000342,2024-11-18,Meta Ads,25958.16,164446,5399,54
M000343,2024-08-02,Instagram,35863.79,226946,9554,185
M000344,2023-02-19,Instagram,37860.05,227126,12983,15
M000345,2026-06-12,Affiliate,30047.74,108806,13939,102
M000346,2026-08-20,Organic Search,41959.01,9803,5887,56
M000347,2024-08-24,Email,12525.66,226601,8941,87
M000348,2026-04-22,Meta Ads,32898.9,296844,13193,82
M000349,2025-03-29,Instagram,23897.07,62235,7937,197
M000350,2024-04-08,Affiliate,39385.14,224126,12078,114
M000351,2024-10-30,Email,15177.84,176284,4832,189
M000352,2022-05-23,Affiliate,23260.35,116084,13096,40
M000353,2025-07-15,Email,37453.31,125718,11387,27
M000354,2024-01-18,Affiliate,21183.72,185695,661,229
M000355,2023-12-23,Email,23677.74,49467,1785,38
M000356,2023-03-25,Organic Search,8560.52,252413,13471,83
M000357,2022-09-15,Google Ads,37315.9,139153,2137,156
M000358,2025-01-08,Email,31204.91,216718,9960,206
M000359,2025-11-18,Organic Search,27030.06,250974,4037,109
M000360,2024-05-11,Organic Search,39313.18,3816,6938,24
M000361,2022-11-15,Instagram,16670.56,68581,4629,115
M000362,2024-04-29,Meta Ads,11145.52,257598,4422,146
M000363,2025-09-17,Organic Search,32376.46,78576,2314,65
M000364,2023-06-12,Google Ads,31250.48,168064,11018,173
M000365,2024-10-05,Direct,31740.68,275261,11953,153
M000366,2023-10-03,Organic Search,29110.23,6176,5851,187
M000367,2023-12-21,Email,21332.24,58776,8123,208
M000368,2024-09-11,Meta Ads,16176.73,78985,10379,177
M000369,2024-06-13,Instagram,30620.67,278260,614,206
M000370,2023-04-16,Meta Ads,16617.37,185942,8132,66
M000371,2023-11-09,Affiliate,36917.13,237731,4006,17
M000372,2023-11-29,Instagram,8104.43,262083,8799,228
M000373,2024-03-18,Referral,22859.39,63315,1751,173
M000374,2023-09-30,Affiliate,32878.92,212865,6888,190
M000375,2023-10-07,Referral,14561.43,237786,9649,170
M000376,2022-09-06,Meta Ads,23958.26,206457,9733,47
M000377,2025-05-25,Organic Search,13902.07,285932,6638,16
M000378,2025-01-30,Affiliate,8568.3,253184,13548,134
M000379,2024-06-23,Meta Ads,15644.21,134645,10174,67
M000380,2022-05-01,Direct,7322.61,139217,13596,79
M000381,2023-11-03,Affiliate,14709.82,130721,2383,93
M000382,2023-07-11,Referral,15697.05,209762,1407,92
M000383,2026-08-16,Email,1880.4,299165,11616,232
M000384,2025-04-01,Referral,17755.12,7344,9233,179
M000385,2025-10-21,Email,18012.28,87058,3027,61
M000386,2025-08-28,Meta Ads,16207.5,95675,5671,123
M000387,2025-12-19,Email,3019.89,278249,12889,239
M000388,2024-05-14,Email,1495.78,275810,2114,250
M000389,2024-08-30,Direct,4247.09,76138,7527,204
M000390,2025-03-26,Organic Search,36615.29,290842,5386,120
M000391,2024-01-14,Organic Search,2488.04,199311,1839,135
M000392,2023-09-12,Direct,8576.76,180319,5552,137
M000393,2022-05-29,Referral,22501.87,146738,7690,161
M000394,2024-05-19,Affiliate,18900.6,277985,2916,22
M000395,2025-01-26,Referral,4595.87,274468,6980,165
M000396,2022-12-27,Affiliate,29800.02,195381,10461,201
M000397,2025-10-02,Organic Search,41761.41,261110,6826,197
M000398,2025-10-24,Affiliate,9043.03,115872,13503,36
M000399,2023-06-05,Direct,36269.45,23250,10627,151
M000400,2023-06-25,Google Ads,34516.71,29102,680,73
M000401,2023-04-23,Instagram,41979.64,133727,6079,234
M000402,2022-05-05,Meta Ads,19292.79,16899,11140,29
M000403,2025-11-22,Organic Search,32667.5,41934,13917,237
M000404,2022-09-04,Direct,35421.58,71316,13758,107
M000405,2022-10-07,Instagram,18453.32,238099,12604,249
M000406,2022-05-11,Meta Ads,4559.0,41128,6881,134
M000407,2024-01-30,Meta Ads,27502.94,57828,12934,93
M000408,2023-02-13,Direct,21683.05,197973,4492,250
M000409,2023-01-04,Google Ads,9497.19,118273,1871,245
M000410,2025-11-30,Direct,5573.22,217701,10587,257
M000411,2022-05-17,Google Ads,40756.74,217588,10312,10
M000412,2026-01-23,Google Ads,14575.16,206136,12056,191
M000413,2022-02-27,Instagram,32906.41,75123,7274,197
M000414,2025-11-16,Google Ads,21921.28,66385,8988,185
M000415,2026-06-03,Direct,25915.27,44508,10766,236
M000416,2024-08-18,Affiliate,10821.29,234315,6492,150
M000417,2026-03-07,Affiliate,16620.97,139179,11233,229
M000418,2025-03-29,Organic Search,27841.95,79355,11664,213
M000419,2024-08-30,Affiliate,10055.37,162185,13798,84
M000420,2025-12-01,Direct,31020.7,30728,5485,134
M000421,2022-06-10,Affiliate,31826.33,283883,7140,147
M000422,2024-01-23,Affiliate,24182.86,240317,11459,179
M000423,2024-05-08,Meta Ads,3329.7,195463,3100,120
M000424,2025-04-01,Meta Ads,34217.07,95629,6913,71
M000425,2026-08-15,Direct,4675.65,127284,11709,238
M000426,2026-01-15,Affiliate,24496.64,84603,7207,197
M000427,2025-05-12,Referral,24138.55,204101,5962,6
M000428,2023-03-07,Google Ads,31733.01,9935,8679,244
M000429,2025-09-17,Referral,33583.11,209710,10389,134
M000430,2023-08-23,Affiliate,25547.47,238699,4679,251
M000431,2022-06-16,Affiliate,40522.14,244864,9835,115
M000432,2024-12-04,Google Ads,24961.92,142707,1158,96
M000433,2022-12-14,Instagram,12132.36,270210,2909,65
M000434,2024-12-14,Affiliate,37844.6,258696,11798,37
M000435,2025-01-24,Organic Search,16504.85,272489,7427,191
M000436,2025-06-13,Organic Search,37522.08,270639,13962,101
M000437,2025-10-04,Organic Search,5547.23,120348,11757,203
M000438,2024-11-29,Referral,38155.35,106396,13430,168
M000439,2024-06-14,Instagram,5334.23,112177,12148,43
M000440,2023-06-26,Google Ads,22644.29,69083,9834,229
M000441,2025-07-07,Meta Ads,14907.87,209551,10656,214
M000442,2022-01-07,Organic Search,40384.5,83518,11940,225
M000443,2025-09-02,Meta Ads,33318.98,168441,9878,229
M000444,2022-01-15,Meta Ads,35091.82,242851,12264,55
M000445,2024-05-12,Direct,31383.91,240767,10749,48
M000446,2024-02-10,Instagram,17697.52,219184,2388,191
M000447,2022-09-06,Affiliate,11040.6,199716,13595,114
M000448,2022-03-29,Organic Search,37200.06,176214,560,26
M000449,2022-05-08,Instagram,37609.56,50967,4151,50
M000450,2025-12-05,Google Ads,4720.6,295323,10247,178
M000451,2023-04-17,Email,22889.89,150071,673,217
M000452,2025-12-14,Direct,29240.46,265851,2602,83
M000453,2022-06-28,Meta Ads,14233.39,220897,6673,186
M000454,2022-02-11,Meta Ads,38725.56,83662,13014,197
M000455,2023-02-09,Meta Ads,27792.07,43442,2121,145
M000456,2023-04-20,Referral,18286.03,127391,284,75
M000457,2026-07-07,Direct,12917.71,234920,10126,127
M000458,2026-08-03,Referral,32715.41,182624,7685,24
M000459,2024-08-30,Email,12883.59,205405,11896,55
M000460,2023-10-29,Email,37533.09,175895,205,240
M000461,2023-07-18,Organic Search,31113.9,223946,11932,219
M000462,2023-12-14,Organic Search,15838.07,269959,274,82
M000463,2022-02-02,Organic Search,41966.27,172050,12660,165
M000464,2023-07-16,Referral,40596.42,62582,4744,49
M000465,2024-04-18,Meta Ads,29966.93,111756,12480,109
M000466,2026-05-21,Meta Ads,40828.72,224170,11195,136
M000467,2022-10-20,Organic Search,735.43,280638,13114,179
M000468,2025-08-25,Google Ads,36014.78,78033,13441,199
M000469,2025-06-19,Meta Ads,24411.56,188760,9103,183
M000470,2025-02-22,Email,6746.21,240823,13659,252
M000471,2023-02-25,Email,31815.68,148036,8584,73
M000472,2025-03-05,Organic Search,4386.0,14310,4382,91
M000473,2023-09-09,Meta Ads,12778.71,292340,8781,217
M000474,2026-03-08,Email,34609.84,188949,4319,27
M000475,2026-05-06,Email,1245.02,142070,11948,26
M000476,2025-02-13,Instagram,17116.51,212963,4099,168
M000477,2023-12-02,Instagram,26707.25,115752,9632,222
M000478,2023-05-28,Referral,17107.33,121729,13559,146
M000479,2025-07-19,Direct,9928.44,267548,7896,218
M000480,2022-06-04,Affiliate,23887.03,164334,10837,112
M000481,2026-08-29,Meta Ads,19473.69,173553,13713,10
