order_id,customer_id,order_date,payment_method,marketing_channel,order_status,subtotal,discount,shipping_revenue,revenue,cost,profit
O0000053,C000103,2026-04-25,Cash on Delivery,Instagram,Cancelled,419.72,59.88,99,458.84,259.76,199.08
O0000054,C005050,2023-10-09,Credit Card,Google Ads,Completed,1191.59,254.1,99,1036.49,462.69,573.8
O0000055,C003081,2024-10-26,Credit Card,Direct,Completed,51936.19,0.0,0,51936.19,24866.56,27069.63
O0000056,C003106,2023-10-09,Wallet,Direct,Completed,1724.77,159.51,99,1664.27,947.25,717.02
O0000057,C004317,2022-07-14,Debit Card,Direct,Cancelled,25952.36,456.96,0,25495.4,19366.58,6128.82
O0000058,C004191,2024-05-23,UPI,Email,Completed,30361.76,3022.61,0,27339.15,15220.21,12118.94
O0000059,C001969,2023-10-27,Cash on Delivery,Email,Processing,1301.96,129.92,99,1271.05,713.25,557.8
O0000060,C003706,2023-02-15,Cash on Delivery,Direct,Completed,2199.39,204.14,99,2094.25,1247.1,847.15
O0000061,C002934,2025-05-19,Credit Card,Google Ads,Completed,1080.66,233.59,99,946.07,718.16,227.91
O0000062,C000442,2024-10-03,UPI,Email,Cancelled,1857.57,250.92,99,1705.65,1001.32,704.33
O0000063,C000787,2022-12-23,Credit Card,Organic Search,Completed,2627.67,166.45,0,2461.22,1482.45,978.77
O0000064,C000474,2025-06-25,Credit Card,Google Ads,Completed,437.58,30.1,99,506.48,278.22,228.26
O0000065,C004561,2023-10-03,Cash on Delivery,Email,Returned,38083.74,4950.02,0,33133.71,15674.89,17458.82
O0000066,C000887,2025-07-19,Wallet,Organic Search,Completed,44685.16,7938.03,0,36747.13,27637.11,9110.02
O0000067,C000386,2024-05-18,UPI,Direct,Completed,19141.98,1079.3,0,18062.68,11822.38,6240.3
O0000068,C004840,2025-05-09,Cash on Delivery,Referral,Completed,1504.22,345.29,99,1257.93,1075.62,182.31
O0000069,C002445,2023-08-10,UPI,Organic Search,Completed,958.1,0.0,99,1057.1,596.74,460.36
O0000070,C004865,2024-04-24,UPI,Email,Completed,6679.68,515.4,0,6164.28,4996.0,1168.28
O0000071,C003898,2025-02-14,Credit Card,Affiliate,Cancelled,7139.49,717.63,0,6421.86,4468.55,1953.31
O0000072,C000143,2023-01-29,UPI,Affiliate,Completed,4263.93,685.31,0,3578.62,2781.11,797.51
O0000073,C002830,2026-03-17,Credit Card,Direct,Completed,26861.31,2318.03,0,24543.28,19281.27,5262.01
O0000074,C003183,2022-07-08,Credit Card,Google Ads,Completed,5147.5,1084.47,0,4063.03,3192.95,870.08
O0000075,C003468,2024-05-07,Credit Card,Google Ads,Completed,2855.86,158.56,0,2697.3,1517.68,1179.62
O0000076,C001848,2023-02-15,Credit Card,Meta Ads,Refunded,21723.45,2877.03,0,18846.42,13306.92,5539.5
O0000077,C004821,2022-05-21,Wallet,Email,Completed,3483.68,399.67,0,3084.01,2215.96,868.05
O0000078,C005199,2024-09-02,Cash on Delivery,Referral,Refunded,23034.48,5267.86,0,17766.62,17214.72,551.9
O0000079,C003723,2022-10-13,UPI,Affiliate,Completed,1002.62,172.27,99,929.36,381.6,547.76
O0000080,C001078,2025-08-25,UPI,Google Ads,Completed,2949.94,633.74,0,2316.2,1574.94,741.26
O0000081,C001600,2023-07-18,Cash on Delivery,Organic Search,Completed,26593.16,3369.14,0,23224.02,17796.54,5427.48
O0000082,C003063,2023-09-19,Credit Card,Google Ads,Completed,535.98,37.9,99,597.08,399.12,197.96
O0000083,C001670,2023-03-13,Credit Card,Email,Processing,2159.4,353.39,99,1905.01,1287.33,617.68
O0000084,C002554,2022-04-24,Cash on Delivery,Meta Ads,Processing,4172.64,952.6,0,3220.04,2942.28,277.76
O0000085,C002159,2023-04-07,PayPal,Organic Search,Completed,2519.34,596.02,0,1923.32,1698.0,225.32
O0000086,C001365,2023-08-17,UPI,Direct,Completed,307.6,24.31,99,382.29,185.99,196.3
O0000087,C000579,2023-10-17,Debit Card,Email,Completed,15024.42,1018.94,0,14005.49,6303.39,7702.1
O0000088,C004610,2025-08-24,PayPal,Email,Completed,615.2,122.94,99,591.26,371.98,219.28
O0000089,C002063,2022-01-13,Credit Card,Meta Ads,Completed,67783.39,7484.29,0,60299.1,42074.3,18224.8
O0000090,C000101,2025-03-14,Debit Card,Email,Completed,675.78,58.08,99,716.7,438.68,278.02
O0000091,C002340,2022-08-20,Credit Card,Meta Ads,Completed,2118.88,252.22,99,1965.66,1353.96,611.7
O0000092,C001747,2025-11-17,Cash on Delivery,Email,Completed,32168.78,7520.39,0,24648.39,15017.99,9630.4
O0000093,C004516,2022-12-03,Credit Card,Instagram,Completed,691.62,22.86,99,767.76,359.08,408.68
O0000094,C000031,2025-06-17,Credit Card,Meta Ads,Completed,16831.56,2482.57,0,14348.99,9172.74,5176.25
O0000095,C003729,2025-08-12,PayPal,Meta Ads,Returned,1234.7,58.78,99,1274.92,931.53,343.39
O0000096,C000958,2023-10-06,Credit Card,Google Ads,Refunded,1082.98,175.12,99,1006.86,534.1,472.76
O0000097,C003254,2026-08-26,UPI,Instagram,Returned,1240.94,120.28,99,1219.66,767.97,451.69
O0000098,C001234,2025-02-27,UPI,Email,Completed,6995.53,382.6,0,6612.93,4014.33,2598.6
O0000099,C004108,2023-11-14,Cash on Delivery,Meta Ads,Completed,5593.23,613.32,0,4979.91,2828.22,2151.69
O0000100,C004285,2023-03-08,PayPal,Organic Search,Completed,8658.42,850.78,0,7807.64,5476.2,2331.44
O0000101,C004443,2026-06-16,Debit Card,Meta Ads,Processing,16516.14,2510.81,0,14005.33,10558.69,3446.64
O0000102,C004243,2022-02-04,PayPal,Direct,Completed,2849.06,767.72,0,2081.34,1991.42,89.92
O0000103,C001115,2022-03-10,Debit Card,Google Ads,Completed,142462.68,15712.49,0,126750.19,77814.38,48935.81
O0000104,C003756,2025-06-04,PayPal,Direct,Completed,8805.15,1525.46,0,7279.69,6303.64,976.05
O0000105,C001295,2022-05-16,Credit Card,Organic Search,Completed,8702.24,1378.42,0,7323.82,4488.12,2835.7
O0000106,C005090,2025-01-02,Wallet,Meta Ads,Completed,13572.87,1077.98,0,12494.89,9498.77,2996.12
O0000107,C003890,2023-06-23,Credit Card,Google Ads,Completed,3885.12,187.3,0,3697.82,2666.39,1031.43
O0000108,C000647,2024-07-30,Credit Card,Email,Completed,9650.61,598.09,0,9052.52,5209.12,3843.4
O0000109,C003985,2022-05-24,Debit Card,Direct,Completed,3077.2,283.89,0,2793.31,2096.34,696.97
O0000110,C004127,2023-06-14,UPI,Meta Ads,Completed,1235.28,136.53,99,1197.75,700.19,497.56
O0000111,C000180,2023-12-02,Credit Card,Google Ads,Completed,7881.14,49.27,0,7831.87,4264.3,3567.57
O0000112,C004101,2023-08-20,Credit Card,Direct,Returned,29517.84,1821.91,0,27695.93,22381.14,5314.79
O0000113,C000259,2023-07-15,Wallet,Google Ads,Completed,6757.66,1236.07,0,5521.59,4485.26,1036.33
O0000114,C004303,2025-11-20,Credit Card,Google Ads,Completed,15273.61,4240.31,0,11033.31,7061.54,3971.77
O0000115,C002550,2025-02-07,Credit Card,Meta Ads,Processing,175246.44,29948.09,0,145298.35,96242.55,49055.8
O0000116,C004466,2022-09-19,PayPal,Referral,Refunded,2439.45,337.63,99,2200.82,1723.11,477.71
O0000117,C000427,2024-11-16,Credit Card,Affiliate,Completed,27280.54,4558.65,0,22721.89,13559.21,9162.68
O0000118,C002732,2024-12-25,Cash on Delivery,Referral,Cancelled,9086.98,163.36,0,8923.61,4320.57,4603.04
O0000119,C001003,2026-04-26,UPI,Meta Ads,Completed,12764.76,2770.16,0,9994.6,7623.17,2371.43
O0000120,C004140,2026-08-23,UPI,Email,Completed,2636.88,354.63,0,2282.25,1467.75,814.5
O0000121,C004902,2025-10-21,Credit Card,Organic Search,Completed,3299.64,0.0,0,3299.64,1436.07,1863.57
O0000122,C004812,2023-06-14,PayPal,Email,Completed,3912.61,359.99,0,3552.62,2101.13,1451.49
O0000123,C001660,2023-03-10,UPI,Google Ads,Completed,979.63,127.08,99,951.55,661.13,290.42
O0000124,C004576,2022-12-21,UPI,Meta Ads,Returned,13544.14,2803.08,0,10741.06,7314.0,3427.06
O0000125,C000096,2024-11-09,UPI,Direct,Returned,744.69,116.0,99,727.69,328.23,399.46
O0000126,C002159,2025-03-21,PayPal,Meta Ads,Processing,140186.85,5534.18,0,134652.67,89005.69,45646.98
O0000127,C000218,2025-02-26,Debit Card,Organic Search,Completed,975.59,88.66,99,985.93,481.26,504.67
O0000128,C000977,2023-01-31,Debit Card,Referral,Cancelled,8098.23,728.13,0,7370.1,5414.85,1955.25
O0000129,C003106,2025-12-01,UPI,Organic Search,Completed,12248.58,1500.52,0,10748.05,6675.8,4072.25
O0000130,C001550,2024-03-22,UPI,Organic Search,Processing,2883.69,371.57,0,2512.12,1528.65,983.47
O0000131,C002388,2024-07-30,Wallet,Meta Ads,Completed,7465.0,449.08,0,7015.92,5167.44,1848.48
O0000132,C002443,2024-03-27,Cash on Delivery,Email,Completed,1072.42,107.23,99,1064.19,770.68,293.51
O0000133,C000627,2024-03-30,Credit Card,Direct,Completed,139676.02,14127.42,0,125548.6,86231.02,39317.58
O0000134,C001894,2022-07-26,UPI,Email,Completed,2047.86,402.51,99,1744.35,1407.92,336.43
O0000135,C004454,2023-08-15,Cash on Delivery,Organic Search,Completed,227.17,17.9,99,308.27,167.3,140.97
O0000136,C003772,2023-07-23,PayPal,Affiliate,Cancelled,1674.63,314.6,99,1459.03,1199.4,259.63
O0000137,C000031,2023-08-29,UPI,Google Ads,Completed,5930.85,1250.93,0,4679.92,4161.31,518.61
O0000138,C003808,2024-03-04,UPI,Google Ads,Completed,3698.1,408.59,0,3289.51,2383.92,905.59
O0000139,C004426,2026-01-01,UPI,Organic Search,Completed,1983.21,376.87,99,1705.34,1434.81,270.53
O0000140,C004147,2022-07-07,Credit Card,Instagram,Completed,16308.58,4565.67,0,11742.91,8660.68,3082.23
O0000141,C003851,2025-07-28,Credit Card,Organic Search,Completed,68624.06,455.44,0,68168.62,42528.56,25640.06
O0000142,C000852,2022-04-30,UPI,Affiliate,Completed,1751.14,35.68,99,1814.46,846.82,967.64
O0000143,C002645,2024-01-02,UPI,Direct,Returned,6762.65,468.94,0,6293.71,3841.71,2452.0
O0000144,C001871,2025-05-02,Credit Card,Google Ads,Completed,3105.18,688.49,0,2416.69,2354.66,62.03
O0000145,C001764,2022-04-20,Credit Card,Affiliate,Completed,1386.04,239.76,99,1245.28,901.18,344.1
O0000146,C004223,2022-02-04,Debit Card,Affiliate,Completed,33482.63,4305.63,0,29177.0,18716.35,10460.65
O0000147,C000125,2022-11-08,Credit Card,Direct,Completed,1065.47,60.19,99,1104.28,514.44,589.84
O0000148,C004486,2023-03-10,PayPal,Google Ads,Completed,190.65,3.73,99,285.92,138.58,147.34
O0000149,C004309,2023-03-01,UPI,Google Ads,Completed,91318.68,8408.92,0,82909.76,51475.92,31433.84
O0000150,C004047,2025-02-03,Credit Card,Organic Search,Processing,23550.72,4272.17,0,19278.55,17123.43,2155.12
O0000151,C004084,2024-03-16,Credit Card,Google Ads,Completed,1369.16,153.02,99,1315.14,814.39,500.75
O0000152,C000607,2023-05-24,UPI,Referral,Completed,2667.33,551.09,0,2116.24,1584.0,532.24
O0000153,C001279,2025-12-08,PayPal,Organic Search,Completed,22988.79,5081.14,0,17907.65,9108.09,8799.56
O0000154,C004639,2024-10-21,Cash on Delivery,Meta Ads,Completed,19707.61,1992.37,0,17715.24,9623.19,8092.05
O0000155,C001160,2024-02-21,Credit Card,Email,Completed,3007.62,382.73,0,2624.89,2118.24,506.65
O0000156,C002454,2022-09-07,Debit Card,Instagram,Completed,1685.08,180.97,99,1603.11,945.4,657.71
O0000157,C000146,2022-11-05,Wallet,Direct,Completed,27029.68,2457.6,0,24572.08,11957.4,12614.68
O0000158,C004514,2024-11-04,UPI,Email,Completed,10101.39,991.49,0,9109.9,5619.67,3490.23
O0000159,C002655,2025-02-23,Debit Card,Google Ads,Completed,24878.52,6560.02,0,18318.5,15413.33,2905.17
O0000160,C004124,2026-06-05,Credit Card,Meta Ads,Completed,669.83,29.8,99,739.03,387.77,351.26
O0000161,C004830,2026-04-15,UPI,Organic Search,Completed,256.86,41.1,99,314.76,129.31,185.45
O0000162,C001663,2022-10-22,UPI,Google Ads,Cancelled,39490.36,4421.6,0,35068.76,19861.75,15207.01
O0000163,C005019,2024-03-21,UPI,Direct,Cancelled,8473.9,988.92,0,7484.98,5397.91,2087.07
O0000164,C000774,2025-02-23,UPI,Meta Ads,Completed,2728.56,294.6,0,2433.96,1369.05,1064.91
O0000165,C002074,2025-01-15,PayPal,Organic Search,Completed,25685.98,20.65,0,25665.33,14358.91,11306.42
O0000166,C000854,2025-12-20,Credit Card,Email,Refunded,419.78,0.0,99,518.78,199.42,319.36
O0000167,C002669,2026-04-23,Credit Card,Email,Cancelled,7515.6,1484.94,0,6030.66,4161.72,1868.94
O0000168,C002309,2023-02-04,Cash on Delivery,Organic Search,Completed,504.73,68.18,99,535.55,323.3,212.25
O0000169,C004999,2026-03-31,Cash on Delivery,Referral,Completed,181.42,28.22,99,252.2,96.38,155.82
O0000170,C001174,2025-12-04,PayPal,Organic Search,Cancelled,40238.03,7583.11,0,32654.92,20098.64,12556.28
O0000171,C003753,2026-06-18,PayPal,Direct,Processing,170998.24,19781.16,0,151217.08,104198.99,47018.09
O0000172,C004413,2023-06-05,Cash on Delivery,Direct,Completed,3359.06,524.18,0,2834.88,2251.62,583.26
O0000173,C002794,2024-06-08,Debit Card,Meta Ads,Completed,363.69,35.98,99,426.71,250.83,175.88
O0000174,C002866,2025-02-07,Debit Card,Direct,Completed,25552.74,4401.98,0,21150.76,16814.82,4335.94
O0000175,C000639,2025-11-30,UPI,Referral,Cancelled,8186.55,173.81,0,8012.73,3756.96,4255.77
O0000176,C004578,2023-01-29,Debit Card,Google Ads,Completed,28373.83,2805.78,0,25568.05,18354.7,7213.35
O0000177,C001007,2022-12-21,UPI,Google Ads,Refunded,2250.23,266.47,99,2082.76,1083.72,999.04
O0000178,C000266,2022-06-27,UPI,Google Ads,Completed,9333.68,1172.94,0,8160.74,6788.93,1371.81
O0000179,C002300,2025-04-24,Wallet,Email,Completed,2926.77,238.45,0,2688.32,1443.78,1244.54
O0000180,C002594,2022-11-11,Wallet,Meta Ads,Completed,27796.2,4008.44,0,23787.76,13412.46,10375.3
O0000181,C003239,2024-03-16,Credit Card,Direct,Completed,142.01,15.3,99,225.71,71.1,154.61
O0000182,C002592,2025-10-01,UPI,Instagram,Completed,37025.37,2706.12,0,34319.25,14868.67,19450.58
O0000183,C003729,2022-09-23,Credit Card,Google Ads,Completed,2898.68,191.93,0,2706.75,1512.96,1193.79
O0000184,C004624,2025-07-13,Cash on Delivery,Organic Search,Completed,1228.14,95.79,99,1231.35,932.78,298.57
O0000185,C000982,2022-03-05,PayPal,Referral,Completed,731.98,130.97,99,700.01,355.7,344.31
O0000186,C004880,2025-01-23,Credit Card,Organic Search,Cancelled,3956.42,1229.74,0,2726.68,2448.42,278.26
O0000187,C000281,2022-01-12,Cash on Delivery,Organic Search,Completed,1713.96,100.98,99,1711.98,925.11,786.87
O0000188,C004894,2026-01-22,Credit Card,Google Ads,Completed,924.12,150.95,99,872.17,508.4,363.77
O0000189,C001765,2022-02-09,Wallet,Email,Completed,1705.06,0.0,99,1804.06,1217.82,586.24
O0000190,C001067,2025-03-01,Cash on Delivery,Email,Completed,1702.63,0.0,99,1801.63,1166.93,634.7
O0000191,C000236,2026-08-31,Credit Card,Meta Ads,Processing,8881.24,0.0,0,8881.24,5993.99,2887.25
O0000192,C002020,2026-06-16,Credit Card,Organic Search,Completed,860.21,89.98,99,869.23,614.76,254.47
O0000193,C002256,2025-02-16,Credit Card,Google Ads,Completed,122640.89,13867.02,0,108773.87,81510.79,27263.08
O0000194,C003072,2024-12-25,Cash on Delivery,Affiliate,Completed,32945.47,7908.81,0,25036.66,14102.84,10933.82
O0000195,C005090,2022-02-09,Wallet,Direct,Completed,1696.88,0.0,99,1795.88,937.4,858.48
O0000196,C002851,2022-12-17,Cash on Delivery,Meta Ads,Completed,5095.05,350.85,0,4744.2,2029.91,2714.29
O0000197,C002892,2024-11-23,Cash on Delivery,Instagram,Completed,1065.47,180.45,99,984.02,514.44,469.58
O0000198,C002245,2023-06-30,UPI,Direct,Completed,1272.23,221.29,99,1149.94,811.45,338.49
O0000199,C003459,2025-04-27,Credit Card,Google Ads,Completed,9629.46,0.0,0,9629.46,6231.24,3398.22
O0000200,C002967,2026-06-30,PayPal,Google Ads,Processing,678.98,109.9,99,668.08,356.48,311.6
O0000201,C001016,2023-09-01,Debit Card,Direct,Completed,3855.64,1002.19,0,2853.45,2275.99,577.46
O0000202,C003158,2023-04-29,UPI,Affiliate,Completed,4776.02,48.43,0,4727.59,2883.32,1844.27
O0000203,C000148,2024-02-16,PayPal,Direct,Completed,7162.94,1078.08,0,6084.86,5370.6,714.26
O0000204,C004329,2025-09-10,Wallet,Direct,Completed,8505.89,282.39,0,8223.5,5837.42,2386.08
O0000205,C000525,2025-10-01,UPI,Direct,Completed,842.11,47.8,99,893.32,362.12,531.2
O0000206,C000109,2022-06-05,Credit Card,Google Ads,Completed,1303.14,65.31,99,1336.83,969.26,367.57
O0000207,C003779,2022-03-26,Credit Card,Email,Completed,11941.53,1172.95,0,10768.58,6089.73,4678.85
O0000208,C000507,2022-04-24,Debit Card,Google Ads,Completed,4615.8,757.26,0,3858.54,3144.51,714.03
O0000209,C001286,2023-01-20,UPI,Meta Ads,Refunded,915.92,114.16,99,900.76,508.16,392.6
O0000210,C002869,2023-04-28,Debit Card,Email,Completed,2618.08,44.44,0,2573.64,1642.1,931.54
O0000211,C004981,2023-05-27,Debit Card,Instagram,Completed,2863.95,212.7,0,2651.25,1495.5,1155.75
O0000212,C001970,2024-01-17,Credit Card,Google Ads,Processing,462.06,86.92,99,474.14,254.2,219.94
O0000213,C003264,2025-02-13,PayPal,Organic Search,Cancelled,2831.61,198.68,0,2632.93,1711.01,921.92
O0000214,C000479,2026-06-02,UPI,Meta Ads,Completed,66799.77,2994.82,0,63804.95,37248.47,26556.48
O0000215,C000618,2022-04-11,Debit Card,Google Ads,Completed,27567.74,2284.32,0,25283.42,15804.78,9478.64
O0000216,C003947,2025-12-14,Debit Card,Meta Ads,Completed,50815.24,8751.41,0,42063.83,23986.06,18077.77
O0000217,C000633,2025-10-30,Debit Card,Organic Search,Completed,12060.9,482.49,0,11578.41,5568.72,6009.69
O0000218,C002300,2022-06-26,UPI,Referral,Completed,72959.94,3988.71,0,68971.23,52769.71,16201.52
O0000219,C004748,2023-02-27,Debit Card,Organic Search,Returned,518.09,14.26,99,602.83,323.41,279.42
O0000220,C003001,2022-12-31,Debit Card,Meta Ads,Completed,62618.04,589.44,0,62028.6,31948.41,30080.19
O0000221,C000987,2023-03-08,Credit Card,Google Ads,Completed,14807.81,678.98,0,14128.83,8719.77,5409.06
O0000222,C003354,2023-09-22,Credit Card,Email,Completed,3624.47,328.17,0,3296.3,2373.41,922.89
O0000223,C003319,2023-04-16,Cash on Delivery,Google Ads,Processing,19459.68,63.35,0,19396.33,14590.91,4805.42
O0000224,C001775,2026-07-31,UPI,Email,Completed,4513.85,878.59,0,3635.26,2917.34,717.92
O0000225,C003002,2022-08-04,PayPal,Google Ads,Completed,5212.92,643.96,0,4568.96,2745.24,1823.72
O0000226,C002454,2026-04-08,UPI,Direct,Completed,1201.69,82.52,99,1218.17,733.23,484.94
O0000227,C003760,2023-03-20,UPI,Meta Ads,Returned,14654.0,66.76,0,14587.24,8000.61,6586.63
O0000228,C002346,2026-06-26,Wallet,Organic Search,Processing,8802.49,1471.43,0,7331.06,4827.98,2503.08
O0000229,C004629,2025-01-04,Credit Card,Affiliate,Completed,5630.12,81.26,0,5548.86,3094.94,2453.92
O0000230,C001451,2025-08-11,Cash on Delivery,Meta Ads,Completed,47507.61,7065.93,0,40441.68,35076.39,5365.29
O0000231,C003192,2025-04-26,Cash on Delivery,Direct,Completed,5084.58,896.35,0,4188.23,3584.55,603.68
O0000232,C000355,2022-04-06,Credit Card,Affiliate,Refunded,11505.52,722.72,0,10782.8,6987.54,3795.26
O0000233,C005134,2025-07-01,UPI,Organic Search,Completed,14172.31,1060.29,0,13112.02,10410.15,2701.87
O0000234,C002029,2022-03-10,Debit Card,Affiliate,Completed,14838.51,1131.55,0,13706.96,8640.96,5066.0
O0000235,C002450,2026-03-06,UPI,Organic Search,Completed,66600.06,3831.96,0,62768.1,41528.88,21239.22
O0000236,C001575,2024-02-23,Credit Card,Email,Completed,3476.88,527.15,0,2949.73,2041.17,908.56
O0000237,C004742,2024-10-20,Debit Card,Organic Search,Completed,730.32,189.83,99,639.49,418.82,220.67
O0000238,C001500,2023-11-11,UPI,Organic Search,Completed,6764.06,1450.58,0,5313.47,2820.95,2492.52
O0000239,C003131,2025-12-26,UPI,Meta Ads,Cancelled,24502.63,55.97,0,24446.66,10058.06,14388.6
O0000240,C000787,2022-05-31,Credit Card,Organic Search,Completed,1720.42,143.48,99,1675.94,1229.52,446.42
O0000241,C004518,2025-04-30,Wallet,Organic Search,Completed,9533.61,1162.83,0,8370.78,5291.95,3078.83
O0000242,C000904,2023-09-12,Cash on Delivery,Referral,Processing,13251.96,1779.38,0,11472.58,7418.1,4054.48
O0000243,C000283,2022-04-11,Debit Card,Organic Search,Completed,5098.44,655.67,0,4442.77,3287.92,1154.85
O0000244,C000301,2023-05-24,Credit Card,Meta Ads,Completed,17278.56,1701.23,0,15577.33,10374.24,5203.09
O0000245,C002144,2025-12-30,PayPal,Meta Ads,Completed,1078.08,266.14,99,910.94,445.53,465.41
O0000246,C002812,2025-12-19,Credit Card,Organic Search,Completed,874.25,74.63,99,898.63,343.83,554.8
O0000247,C000077,2024-03-27,PayPal,Affiliate,Completed,508.32,60.56,99,546.76,295.9,250.86
