return_id,order_id,customer_id,return_date,return_reason,refund_amount
R000031,O0017157,C000621,2026-06-21,Customer Changed Mind,341.43
R000032,O0008952,C005159,2022-06-03,Customer Changed Mind,6542.87
R000033,O0007659,C002300,2024-11-05,Size Issue,6854.13
R000034,O0016035,C001232,2025-01-25,Quality Issue,8901.03
R000035,O0009326,C004063,2022-08-28,Late Delivery,877.48
R000036,O0002043,C001480,2026-07-11,Wrong Product,11198.95
R000037,O0022425,C002732,2023-11-25,Late Delivery,7071.47
R000038,O0019306,C002584,2024-09-26,Quality Issue,11847.77
R000039,O0005770,C000442,2022-02-22,Wrong Product,10144.13
R000040,O0024809,C004162,2025-06-02,Size Issue,433.74
R000041,O0023815,C001352,2022-06-14,Damaged Product,13082.83
R000042,O0019120,C004047,2025-01-21,Customer Changed Mind,9513.1
R000043,O0010093,C002436,2025-02-19,Wrong Product,125610.4
R000044,O0013929,C000924,2024-10-31,Customer Changed Mind,2050.59
R000045,O0018661,C002194,2026-04-02,Size Issue,17470.32
R000046,O0014185,C004998,2022-07-01,Damaged Product,4754.36
R000047,O0016688,C003021,2025-01-20,Late Delivery,42910.26
R000048,O0014585,C000031,2026-07-11,Customer Changed Mind,3477.66
R000049,O0017306,C004948,2025-10-31,Customer Changed Mind,55895.84
R000050,O0018612,C002150,2026-03-12,Customer Changed Mind,1717.85
R000051,O0010197,C001816,2026-04-22,Customer Changed Mind,957.3
R000052,O0007519,C004797,2025-02-18,Size Issue,13097.08
R000053,O0009998,C002878,2022-02-25,Customer Changed Mind,245.09
R000054,O0006487,C005191,2025-01-24,Quality Issue,46478.82
R000055,O0021553,C004446,2026-04-11,Customer Changed Mind,5906.46
R000056,O0003350,C000618,2024-07-22,Damaged Product,5956.0
R000057,O0023923,C003317,2022-12-23,Size Issue,9584.85
R000058,O0025989,C000473,2023-12-08,Quality Issue,7855.8
R000059,O0020267,C000758,2022-07-04,Customer Changed Mind,4098.38
R000060,O0015785,C001532,2024-06-22,Quality Issue,3108.46
R000061,O0018223,C000552,2022-01-14,Late Delivery,5750.13
R000062,O0000423,C003316,2024-06-30,Damaged Product,821.71
R000063,O0006420,C005109,2025-02-08,Wrong Product,11576.98
R000064,O0003894,C001775,2022-11-19,Customer Changed Mind,5736.12
R000065,O0010855,C002144,2024-05-20,Damaged Product,10875.62
R000066,O0018105,C004514,2025-04-23,Quality Issue,22228.01
R000067,O0002721,C004343,2024-02-09,Size Issue,527.68
R000068,O0007901,C001495,2024-11-29,Customer Changed Mind,6044.14
R000069,O0019305,C003659,2024-02-15,Damaged Product,2957.72
R000070,O0010798,C003188,2023-05-15,Quality Issue,442.25
R000071,O0017452,C003062,2023-10-23,Late Delivery,1116.39
R000072,O0025088,C003864,2023-01-29,Late Delivery,36720.57
R000073,O0004806,C000445,2022-09-28,Customer Changed Mind,3266.26
R000074,O0014166,C000952,2024-10-05,Size Issue,10887.25
R000075,O0013471,C001602,2025-01-08,Size Issue,3421.12
R000076,O0012633,C004278,2024-09-05,Customer Changed Mind,15279.8
R000077,O0009323,C003881,2025-05-31,Size Issue,1182.82
R000078,O0011221,C001602,2023-06-21,Wrong Product,25537.63
R000079,O0022869,C004072,2022-04-21,Size Issue,15781.08
R000080,O0020765,C001775,2024-02-23,Damaged Product,4595.64
R000081,O0024968,C004409,2023-10-13,Damaged Product,5089.07
R000082,O0024711,C001645,2022-09-01,Wrong Product,628.79
R000083,O0016019,C002780,2023-03-23,Damaged Product,602.52
R000084,O0013536,C004271,2023-07-28,Wrong Product,378.32
R000085,O0006154,C001148,2024-01-24,Size Issue,10934.25
R000086,O0018864,C004770,2024-04-21,Wrong Product,655.37
R000087,O0001517,C000729,2022-06-30,Customer Changed Mind,985.95
R000088,O0018930,C000830,2025-12-06,Wrong Product,14062.83
R000089,O0020363,C003057,2022-03-21,Size Issue,6473.5
R000090,O0017648,C003833,2023-03-24,Quality Issue,6327.45
R000091,O0009665,C004092,2022-11-03,Wrong Product,7999.21
R000092,O0025127,C002811,2023-11-26,Customer Changed Mind,8704.22
R000093,O0024080,C001115,2024-02-09,Size Issue,7097.1
R000094,O0016335,C003310,2022-12-28,Damaged Product,10511.83
R000095,O0025701,C000221,2025-11-28,Late Delivery,2738.0
R000096,O0024188,C003406,2024-01-30,Quality Issue,4022.15
R000097,O0003167,C002131,2024-04-06,Wrong Product,7501.73
R000098,O0018183,C001017,2022-07-25,Customer Changed Mind,2210.91
R000099,O0015569,C000013,2024-04-05,Quality Issue,2443.07
R000100,O0023588,C003881,2023-10-05,Wrong Product,12685.03
R000101,O0009814,C002513,2022-10-05,Size Issue,213.92
R000102,O0011354,C002730,2023-07-24,Damaged Product,3677.67
R000103,O0019906,C000160,2022-09-17,Size Issue,2534.57
R000104,O0023255,C004084,2025-01-08,Quality Issue,8859.5
R000105,O0007027,C004945,2025-12-14,Late Delivery,1346.24
R000106,O0016499,C003564,2026-07-17,Damaged Product,8949.67
R000107,O0005179,C000912,2025-05-28,Size Issue,8236.06
R000108,O0025890,C003602,2023-06-16,Late Delivery,692.07
R000109,O0025521,C002300,2024-01-18,Quality Issue,2301.24
R000110,O0015899,C004757,2024-03-07,Late Delivery,14743.32
R000111,O0017991,C002612,2022-10-22,Size Issue,4020.0
R000112,O0018979,C001144,2025-03-12,Wrong Product,833.89
R000113,O0023543,C002188,2024-01-21,Size Issue,50210.21
R000114,O0012250,C002098,2026-06-25,Late Delivery,3276.87
R000115,O0006166,C003752,2023-07-17,Customer Changed Mind,1803.56
R000116,O0023938,C004932,2026-04-14,Late Delivery,48170.77
R000117,O0008024,C000780,2024-02-22,Late Delivery,4417.36
R000118,O0024648,C002615,2026-01-06,Size Issue,7010.41
R000119,O0008315,C000957,2025-01-20,Customer Changed Mind,613.59
R000120,O0006476,C002462,2022-08-21,Customer Changed Mind,5484.26
R000121,O0015891,C004747,2022-10-31,Quality Issue,2109.05
R000122,O0001984,C001107,2026-05-08,Damaged Product,13262.97
R000123,O0002982,C004142,2026-01-30,Size Issue,1311.84
R000124,O0014506,C002778,2025-06-01,Customer Changed Mind,480.74
R000125,O0009462,C001650,2022-05-16,Late Delivery,6253.65
R000126,O0020757,C004480,2022-11-26,Damaged Product,322.41
R000127,O0015869,C001218,2025-07-11,Wrong Product,2574.05
R000128,O0015231,C001001,2022-02-09,Size Issue,2424.51
R000129,O0022793,C001265,2024-09-11,Damaged Product,103852.91
R000130,O0024103,C004611,2026-04-20,Late Delivery,690.78
R000131,O0013154,C001470,2026-04-03,Late Delivery,6903.6
R000132,O0013792,C004339,2023-07-24,Size Issue,589.66
R000133,O0000238,C001500,2023-11-22,Late Delivery,3906.01
R000134,O0000245,C002144,2026-01-27,Wrong Product,714.6
R000135,O0013335,C004978,2023-09-17,Customer Changed Mind,2967.58
R000136,O0011146,C004431,2025-06-30,Late Delivery,1311.22
R000137,O0010975,C001804,2024-10-12,Customer Changed Mind,1439.54
R000138,O0004853,C000809,2023-08-05,Late Delivery,3653.18
R000139,O0017460,C000896,2025-08-22,Late Delivery,593.94
R000140,O0002436,C000831,2022-09-01,Size Issue,4145.85
R000141,O0012410,C003427,2026-04-19,Wrong Product,103635.09
R000142,O0005565,C004663,2023-04-24,Late Delivery,1093.51
R000143,O0008771,C000780,2022-09-12,Damaged Product,650.18
R000144,O0019837,C002036,2026-03-08,Customer Changed Mind,3135.17
R000145,O0011124,C003200,2025-06-04,Quality Issue,21611.2
R000146,O0015996,C003872,2022-03-04,Size Issue,873.4
R000147,O0007385,C002913,2025-12-29,Wrong Product,496.95
R000148,O0016113,C000907,2024-03-01,Late Delivery,14085.52
R000149,O0003914,C003406,2023-05-20,Customer Changed Mind,4447.81
R000150,O0003803,C000787,2022-05-29,Damaged Product,2629.77
R000151,O0014102,C000607,2022-05-08,Quality Issue,621.18
R000152,O0005745,C002029,2024-04-26,Size Issue,4544.87
R000153,O0001056,C003795,2022-07-30,Late Delivery,4800.19
R000154,O0024155,C003599,2023-10-12,Customer Changed Mind,5850.73
R000155,O0002177,C000031,2024-06-03,Size Issue,2501.15
R000156,O0014105,C002560,2025-09-15,Damaged Product,3194.6
R000157,O0015679,C004619,2022-06-02,Size Issue,3922.27
R000158,O0020222,C003911,2023-01-15,Size Issue,10082.64
R000159,O0011361,C002300,2022-12-20,Customer Changed Mind,133977.17
R000160,O0007657,C003384,2022-02-04,Late Delivery,1647.17
R000161,O0006845,C003022,2023-06-19,Late Delivery,1011.6
R000162,O0004924,C004536,2023-03-22,Customer Changed Mind,29289.77
R000163,O0022184,C000080,2026-05-22,Damaged Product,66089.95
R000164,O0014731,C002097,2023-04-16,Customer Changed Mind,3326.28
R000165,O0017384,C002780,2024-10-24,Customer Changed Mind,18188.98
R000166,O0003650,C000034,2025-03-26,Size Issue,3542.52
R000167,O0001549,C002665,2022-12-20,Wrong Product,6375.82
R000168,O0000920,C004185,2025-03-01,Late Delivery,36774.83
R000169,O0012593,C005075,2022-12-03,Customer Changed Mind,9177.69
R000170,O0016975,C003938,2024-06-25,Late Delivery,3413.7
R000171,O0000908,C001656,2022-05-27,Size Issue,5594.49
R000172,O0023619,C000809,2022-10-02,Size Issue,3826.8
R000173,O0004423,C000195,2022-08-10,Late Delivery,1425.16
R000174,O0002993,C003599,2026-08-28,Size Issue,3857.34
R000175,O0012780,C003231,2025-08-30,Quality Issue,4882.19
R000176,O0017521,C004860,2024-07-13,Quality Issue,1471.13
R000177,O0001301,C005113,2024-08-24,Late Delivery,486.66
R000178,O0025783,C001760,2026-03-30,Size Issue,706.19
R000179,O0023417,C004148,2022-09-23,Late Delivery,300.03
R000180,O0021303,C004536,2022-08-08,Damaged Product,2776.37
R000181,O0008317,C003911,2023-01-04,Size Issue,7932.39
R000182,O0003421,C003982,2025-04-04,Customer Changed Mind,20489.72
R000183,O0023722,C000161,2026-06-23,Customer Changed Mind,1640.51
R000184,O0002973,C000264,2024-03-18,Wrong Product,4516.33
R000185,O0016938,C004461,2026-09-07,Late Delivery,9145.58
R000186,O0009327,C003084,2022-10-12,Size Issue,164357.65
R000187,O0023423,C003172,2022-04-17,Wrong Product,847.22
R000188,O0019100,C003059,2023-04-19,Quality Issue,9440.72
R000189,O0017068,C000378,2025-05-15,Customer Changed Mind,5321.7
R000190,O0017296,C003818,2022-03-18,Wrong Product,4258.31
R000191,O0011202,C000106,2022-04-16,Damaged Product,13019.34
R000192,O0025789,C004057,2024-08-10,Customer Changed Mind,8377.27
R000193,O0020333,C003668,2024-11-27,Late Delivery,1562.73
R000194,O0018326,C002550,2025-11-18,Late Delivery,596.57
R000195,O0021444,C000031,2024-10-26,Damaged Product,8068.53
R000196,O0007573,C003584,2024-03-02,Customer Changed Mind,57717.25
R000197,O0023536,C003521,2022-07-26,Damaged Product,4518.37
R000198,O0003868,C000952,2025-10-24,Customer Changed Mind,3434.12
R000199,O0011956,C003786,2024-07-10,Size Issue,1776.49
R000200,O0015277,C002029,2026-06-05,Late Delivery,2595.43
R000201,O0009650,C002967,2026-03-30,Size Issue,2491.65
R000202,O0002045,C005075,2025-08-10,Damaged Product,2400.25
R000203,O0024088,C004860,2023-07-07,Quality Issue,73238.2
R000204,O0003260,C000161,2024-10-01,Wrong Product,12137.21
R000205,O0009949,C002300,2025-10-14,Late Delivery,5237.39
R000206,O0008853,C001612,2024-10-03,Late Delivery,14580.66
R000207,O0003800,C002400,2024-10-12,Quality Issue,1287.32
R000208,O0016368,C004894,2025-05-01,Quality Issue,3889.09
R000209,O0025757,C002430,2025-05-24,Size Issue,162216.49
R000210,O0003692,C003290,2023-07-26,Wrong Product,1342.97
R000211,O0008466,C003753,2026-04-16,Late Delivery,13394.81
R000212,O0014470,C002116,2025-12-22,Late Delivery,37362.3
R000213,O0019405,C004071,2025-12-20,Late Delivery,4620.65
R000214,O0007735,C002472,2024-07-19,Size Issue,4389.61
R000215,O0007323,C001775,2025-01-12,Size Issue,21321.5
R000216,O0008481,C001526,2023-11-01,Wrong Product,224.61
R000217,O0022435,C004711,2024-12-30,Damaged Product,28495.2
R000218,O0000907,C004092,2024-10-31,Wrong Product,15012.79
R000219,O0009807,C003195,2025-12-20,Wrong Product,354.3
R000220,O0020385,C003978,2022-12-04,Customer Changed Mind,11795.84
R000221,O0012472,C000259,2026-01-17,Size Issue,2753.79
R000222,O0001454,C001011,2023-04-21,Wrong Product,16831.91
R000223,O0010211,C002552,2023-12-19,Late Delivery,2238.09
R000224,O0002556,C002418,2023-07-23,Customer Changed Mind,417.5
R000225,O0004751,C000056,2023-11-05,Quality Issue,1278.23
R000226,O0001635,C001757,2024-08-11,Damaged Product,35705.37
R000227,O0019194,C003413,2023-10-11,Size Issue,18893.51
R000228,O0000582,C000160,2024-01-19,Late Delivery,1769.46
R000229,O0002956,C004850,2024-03-31,Damaged Product,9833.52
R000230,O0000640,C001071,2024-03-27,Size Issue,15330.18
R000231,O0012739,C003694,2025-05-26,Quality Issue,76322.43
R000232,O0016177,C003475,2024-12-11,Late Delivery,10968.26
R000233,O0000233,C005134,2025-07-22,Size Issue,11883.45
R000234,O0024275,C003419,2024-07-15,Size Issue,923.1
R000235,O0015291,C000536,2024-09-14,Size Issue,547.91
R000236,O0013573,C004719,2026-05-31,Customer Changed Mind,174574.01
R000237,O0009397,C003319,2025-11-19,Wrong Product,594.51
R000238,O0021474,C005085,2022-05-18,Size Issue,6425.72
R000239,O0020535,C003031,2025-08-25,Damaged Product,1164.57
R000240,O0000264,C002545,2026-07-30,Quality Issue,2030.96
R000241,O0014877,C000555,2023-09-03,Damaged Product,2746.82
R000242,O0011318,C004945,2026-08-22,Wrong Product,12882.53
R000243,O0015500,C004707,2024-07-28,Wrong Product,42655.53
R000244,O0000641,C005200,2024-02-01,Wrong Product,8841.88
R000245,O0024373,C003347,2023-12-29,Customer Changed Mind,7868.17
R000246,O0016660,C002913,2024-04-23,Wrong Product,4704.47
R000247,O0010341,C004004,2023-06-06,Size Issue,5747.46
R000248,O0003958,C005047,2022-08-10,Late Delivery,1426.5
R000249,O0025070,C004875,2022-07-21,Wrong Product,4468.2
R000250,O0022664,C004020,2025-11-11,Size Issue,1767.8
R000251,O0013507,C001602,2025-05-31,Size Issue,266.03
R000252,O0010037,C004664,2023-01-19,Wrong Product,7068.97
R000253,O0013692,C004311,2023-05-29,Size Issue,3388.46
R000254,O0014011,C001835,2026-06-17,Customer Changed Mind,13554.92
R000255,O0010863,C004504,2026-08-22,Customer Changed Mind,12437.08
R000256,O0009729,C000882,2024-03-09,Damaged Product,2067.71
R000257,O0007358,C000031,2025-07-07,Quality Issue,3075.05
R000258,O0003132,C000022,2026-09-26,Quality Issue,2510.54
R000259,O0014071,C003696,2026-09-16,Late Delivery,435.88
R000260,O0003414,C002437,2025-10-11,Size Issue,3714.04
R000261,O0007161,C001972,2025-11-24,Size Issue,3454.37
R000262,O0023978,C004588,2024-06-16,Customer Changed Mind,273.23
R000263,O0001443,C002982,2022-09-21,Late Delivery,5618.62
R000264,O0020641,C001008,2022-11-16,Wrong Product,3606.85
R000265,O0020628,C001579,2023-05-08,Size Issue,4862.52
R000266,O0025329,C002898,2025-11-16,Size Issue,4183.17
R000267,O0003846,C003693,2023-10-12,Size Issue,9744.99
R000268,O0007891,C001932,2026-07-01,Size Issue,26842.52
R000269,O0011304,C003803,2023-03-29,Quality Issue,93069.63
R000270,O0009430,C000552,2023-06-19,Customer Changed Mind,452.68
R000271,O0008027,C001860,2023-01-27,Customer Changed Mind,467.12
R000272,O0009442,C002976,2026-05-02,Quality Issue,26592.91
R000273,O0022231,C000550,2022-10-28,Late Delivery,10311.69
R000274,O0015755,C001860,2025-12-08,Wrong Product,192.05
R000275,O0017772,C004744,2023-11-06,Customer Changed Mind,923.98
R000276,O0000758,C001635,2024-12-03,Wrong Product,17624.91
R000277,O0016392,C003606,2023-06-16,Wrong Product,11911.23
R000278,O0010280,C002076,2022-05-03,Customer Changed Mind,4549.95
R000279,O0007822,C004936,2025-11-20,Customer Changed Mind,2002.9
R000280,O0007454,C002380,2023-04-22,Customer Changed Mind,2573.02
R000281,O0012443,C002504,2024-02-23,Wrong Product,5615.03
R000282,O0004497,C003993,2025-08-20,Customer Changed Mind,12646.31
R000283,O0025254,C002300,2025-07-08,Wrong Product,1386.21
R000284,O0008773,C000977,2026-02-06,Customer Changed Mind,2193.44
R000285,O0008981,C003405,2023-11-24,Quality Issue,2259.6
R000286,O0017185,C001330,2024-12-02,Late Delivery,5010.52
R000287,O0003396,C001030,2023-05-07,Quality Issue,5872.79
R000288,O0007245,C004812,2022-07-17,Wrong Product,952.17
R000289,O0002326,C002134,2024-09-26,Size Issue,293.5
R000290,O0014666,C001066,2023-07-18,Size Issue,21037.85
R000291,O0007541,C004866,2023-05-25,Customer Changed Mind,18603.77
R000292,O0011301,C004055,2022-09-19,Quality Issue,7361.32
R000293,O0024986,C002049,2023-09-25,Late Delivery,4744.4
R000294,O0015559,C000218,2025-04-07,Quality Issue,4360.96
R000295,O0024445,C003585,2024-10-06,Size Issue,2803.94
R000296,O0001123,C002875,2024-01-04,Wrong Product,7190.14
R000297,O0000248,C004719,2023-05-08,Late Delivery,16230.68
R000298,O0022057,C000497,2023-02-05,Quality Issue,44178.2
R000299,O0009670,C002855,2024-04-30,Wrong Product,459.84
R000300,O0009216,C004007,2023-05-30,Wrong Product,558.05
R000301,O0001431,C001405,2022-10-22,Size Issue,1166.29
R000302,O0007317,C003528,2024-12-03,Customer Changed Mind,1555.77
R000303,O0024740,C002464,2025-02-01,Quality Issue,47620.17
R000304,O0003875,C001775,2023-06-13,Late Delivery,2521.59
R000305,O0010660,C004902,2023-07-09,Damaged Product,3600.91
R000306,O0002685,C002005,2024-01-29,Damaged Product,737.72
R000307,O0006392,C004524,2025-09-07,Damaged Product,3132.74
R000308,O0000260,C004711,2024-01-19,Damaged Product,1612.01
R000309,O0017972,C004601,2025-08-13,Damaged Product,424.48
R000310,O0013631,C005194,2023-12-13,Wrong Product,7722.12
R000311,O0003408,C003069,2024-04-25,Damaged Product,549.89
R000312,O0009707,C000618,2025-06-25,Customer Changed Mind,20731.7
R000313,O0015930,C004415,2022-11-23,Wrong Product,926.82
R000314,O0004019,C000529,2026-05-08,Customer Changed Mind,8690.18
R000315,O0002911,C004071,2022-08-14,Wrong Product,354.89
R000316,O0009422,C003851,2025-09-27,Damaged Product,20200.9
R000317,O0016840,C004877,2023-12-11,Late Delivery,3244.33
R000318,O0008250,C002322,2026-07-16,Damaged Product,23651.24
R000319,O0018288,C001063,2023-11-30,Quality Issue,12009.91
R000320,O0015075,C004369,2026-01-08,Customer Changed Mind,482.73
R000321,O0013340,C003364,2025-03-02,Damaged Product,10657.87
R000322,O0017107,C004719,2025-09-18,Late Delivery,205.37
R000323,O0005113,C001064,2024-02-17,Size Issue,384.67
R000324,O0004836,C000544,2022-03-18,Customer Changed Mind,10980.92
R000325,O0020224,C000386,2025-01-22,Quality Issue,9178.89
R000326,O0019852,C001326,2023-06-02,Wrong Product,1146.87
R000327,O0010019,C002267,2026-02-02,Size Issue,17345.05
R000328,O0021946,C003538,2022-10-04,Damaged Product,278.26
R000329,O0018020,C005170,2026-07-18,Wrong Product,14301.41
R000330,O0013901,C004101,2022-04-05,Size Issue,1114.47
R000331,O0011167,C000550,2024-09-18,Wrong Product,521.51
R000332,O0007126,C001076,2022-04-17,Late Delivery,4353.08
R000333,O0000337,C005166,2022-02-13,Customer Changed Mind,9752.89
R000334,O0013598,C000087,2025-01-16,Customer Changed Mind,22874.72
R000335,O0010957,C004860,2022-11-09,Size Issue,2277.41
R000336,O0002212,C002169,2025-01-03,Wrong Product,9241.2
R000337,O0024264,C000714,2026-06-11,Late Delivery,4005.42
R000338,O0005377,C001848,2025-06-19,Damaged Product,3437.85
R000339,O0012486,C003678,2025-10-08,Quality Issue,5195.83
R000340,O0008623,C002149,2023-03-10,Wrong Product,6639.78
R000341,O0013645,C003616,2024-01-02,Damaged Product,1082.86
R000342,O0001688,C003215,2026-06-15,Size Issue,1656.98
R000343,O0022670,C003513,2025-06-25,Size Issue,8697.81
R000344,O0006322,C003269,2024-08-04,Size Issue,164101.9
R000345,O0018143,C001476,2022-05-26,Damaged Product,2223.72
R000346,O0020717,C000552,2023-10-13,Late Delivery,1257.65
R000347,O0015722,C003216,2023-10-08,Damaged Product,333.08
R000348,O0003529,C001757,2025-11-13,Late Delivery,65809.26
R000349,O0011754,C002245,2023-01-05,Wrong Product,71317.64
R000350,O0018101,C000031,2022-06-01,Late Delivery,3481.44
R000351,O0001801,C004053,2022-05-28,Wrong Product,1758.94
R000352,O0014145,C001405,2025-10-28,Late Delivery,24214.45
R000353,O0001698,C000797,2023-07-31,Damaged Product,5868.24
R000354,O0010899,C001586,2022-09-12,Quality Issue,3371.84
R000355,O0023387,C001968,2025-09-23,Late Delivery,28897.49
R000356,O0017418,C000904,2025-10-25,Late Delivery,98431.51
R000357,O0020656,C003383,2026-02-17,Customer Changed Mind,16894.56
R000358,O0011137,C000031,2024-04-28,Wrong Product,22233.28
R000359,O0012937,C003368,2025-04-26,Quality Issue,5881.25
R000360,O0020543,C003816,2025-05-05,Wrong Product,707.6
R000361,O0006288,C001905,2023-12-09,Late Delivery,474.59
R000362,O0013766,C000002,2022-10-30,Wrong Product,3309.55
R000363,O0016857,C001697,2022-08-19,Damaged Product,1473.03
R000364,O0000723,C003850,2022-06-24,Wrong Product,2148.74
R000365,O0024328,C001720,2025-12-09,Size Issue,67175.98
R000366,O0011649,C000432,2024-02-19,Customer Changed Mind,11115.26
R000367,O0012562,C001606,2022-12-03,Size Issue,23959.33
R000368,O0000296,C002967,2025-06-10,Quality Issue,169246.69
R000369,O0015708,C000366,2023-12-09,Size Issue,99534.32
R000370,O0019923,C001181,2023-05-27,Late Delivery,4278.84
R000371,O0010308,C001914,2024-07-08,Size Issue,3778.08
R000372,O0015061,C001555,2026-08-02,Damaged Product,19822.79
R000373,O0014684,C000077,2022-05-22,Damaged Product,16158.26
R000374,O0005670,C003227,2025-11-05,Damaged Product,885.41
R000375,O0008707,C002021,2022-05-21,Damaged Product,365.57
R000376,O0010494,C001030,2024-02-02,Customer Changed Mind,6164.45
R000377,O0016936,C003344,2022-11-02,Damaged Product,4015.66
R000378,O0024850,C003445,2024-07-06,Wrong Product,3564.3
R000379,O0003843,C004028,2024-04-02,Size Issue,1819.37
R000380,O0015050,C003405,2024-04-03,Late Delivery,4958.09
R000381,O0024780,C003993,2025-05-03,Customer Changed Mind,1564.43
R000382,O0019797,C001819,2023-02-20,Wrong Product,1533.49
R000383,O0007332,C004514,2023-03-07,Damaged Product,5680.83
R000384,O0006263,C001775,2024-08-21,Damaged Product,938.92
R000385,O0022927,C000380,2024-07-03,Size Issue,763.9
R000386,O0019568,C002884,2023-07-27,Size Issue,7386.36
R000387,O0001544,C004074,2022-03-31,Size Issue,14413.18
R000388,O0017902,C003851,2025-11-30,Customer Changed Mind,4897.18
R000389,O0022031,C003786,2025-05-04,Customer Changed Mind,4086.98
R000390,O0024869,C004761,2024-08-16,Late Delivery,16571.97
R000391,O0021721,C001712,2024-11-15,Wrong Product,28863.85
R000392,O0018180,C001453,2024-11-27,Late Delivery,7939.13
R000393,O0007465,C002342,2023-09-27,Wrong Product,5756.49
R000394,O0012975,C000381,2024-12-03,Damaged Product,7847.13
R000395,O0023024,C000031,2024-09-03,Late Delivery,559.03
R000396,O0010617,C003786,2022-05-31,Wrong Product,3233.93
R000397,O0018378,C003756,2022-09-08,Size Issue,233.19
R000398,O0025484,C003413,2024-01-28,Customer Changed Mind,5655.51
R000399,O0015129,C004261,2022-10-21,Size Issue,1789.44
R000400,O0022301,C003931,2025-03-28,Quality Issue,1659.54
R000401,O0001602,C000569,2022-05-04,Quality Issue,4365.99
R000402,O0004132,C001816,2026-07-31,Size Issue,2388.91
R000403,O0013815,C000963,2023-09-08,Wrong Product,465.35
R000404,O0019657,C000402,2026-04-03,Damaged Product,4054.82
R000405,O0004453,C003261,2023-10-29,Size Issue,3159.71
R000406,O0019687,C002479,2024-01-11,Late Delivery,19172.51
R000407,O0019727,C002636,2023-10-20,Customer Changed Mind,341.37
R000408,O0008849,C002224,2023-02-08,Damaged Product,383.14
R000409,O0017093,C003486,2023-12-11,Late Delivery,3116.9
R000410,O0007517,C002252,2022-09-15,Size Issue,1465.56
R000411,O0013479,C000797,2025-12-13,Late Delivery,19867.01
R000412,O0012983,C004992,2024-09-29,Quality Issue,831.77
R000413,O0002336,C000809,2025-06-21,Wrong Product,1017.82
R000414,O0004021,C002759,2022-03-18,Late Delivery,1400.76
R000415,O0003998,C002670,2024-11-21,Customer Changed Mind,11236.81
R000416,O0001584,C004536,2022-10-04,Size Issue,5937.55
R000417,O0019010,C001094,2023-12-18,Customer Changed Mind,15889.84
R000418,O0016458,C002063,2022-09-04,Customer Changed Mind,713.37
R000419,O0000956,C003384,2024-03-17,Late Delivery,174800.99
R000420,O0020179,C004850,2023-04-12,Wrong Product,260.55
R000421,O0004821,C000031,2023-04-08,Damaged Product,20620.77
R000422,O0013359,C000375,2023-10-05,Late Delivery,176159.05
R000423,O0023865,C004865,2026-01-20,Late Delivery,18382.95
R000424,O0016839,C004681,2024-02-21,Customer Changed Mind,5822.92
R000425,O0017456,C002268,2025-08-02,Damaged Product,16112.26
R000426,O0007162,C002562,2025-01-04,Quality Issue,6125.55
R000427,O0022863,C004495,2024-07-05,Late Delivery,1997.18
R000428,O0021584,C005102,2026-02-15,Late Delivery,8904.7
R000429,O0022751,C001817,2026-04-08,Quality Issue,40770.95
R000430,O0001225,C003301,2022-05-08,Customer Changed Mind,631.79
R000431,O0002633,C000872,2022-08-20,Size Issue,682.16
R000432,O0016380,C003391,2026-07-23,Late Delivery,1023.94
R000433,O0008777,C004865,2023-09-23,Late Delivery,6314.08
R000434,O0006318,C004424,2025-12-30,Damaged Product,2723.35
