product_id,product_name,category,brand,selling_price,cost_price,rating,reorder_level
P00105,Northstar Electronics Pro 105,Electronics,Northstar,87879.89,47404.0,5.0,34
P00106,Aster & Co. Fashion Essential 106,Fashion,Aster & Co.,5512.82,3396.23,3.7,20
P00107,Mosaic Beauty Studio 107,Beauty,Mosaic,283.86,207.14,3.8,63
P00108,Luma Home & Kitchen Everyday 108,Home & Kitchen,Luma,4153.71,2028.89,4.3,29
P00109,Cedar Lane Sports Max 109,Sports,Cedar Lane,1721.33,849.62,3.9,41
P00110,Orbit Grocery Select 110,Grocery,Orbit,151.67,112.31,3.8,33
P00111,Solace Books Classic 111,Books,Solace,187.9,130.03,5.0,31
P00112,Pioneer Accessories Plus 112,Accessories,Pioneer,628.03,413.74,4.6,50
P00113,Northstar Electronics Pro 113,Electronics,Northstar,5457.44,3889.5,4.8,57
P00114,Aster & Co. Fashion Essential 114,Fashion,Aster & Co.,718.81,396.14,4.2,51
P00115,Mosaic Beauty Studio 115,Beauty,Mosaic,200.27,99.2,4.1,29
P00116,Luma Home & Kitchen Everyday 116,Home & Kitchen,Luma,5440.93,2725.64,3.2,33
P00117,Cedar Lane Sports Max 117,Sports,Cedar Lane,661.07,478.27,4.5,37
P00118,Orbit Grocery Select 118,Grocery,Orbit,261.1,127.2,4.3,56
P00119,Solace Books Classic 119,Books,Solace,616.82,310.29,3.7,43
P00120,Pioneer Accessories Plus 120,Accessories,Pioneer,822.08,535.76,4.4,15
P00121,Northstar Electronics Pro 121,Electronics,Northstar,5610.52,3057.58,3.9,58
P00122,Aster & Co. Fashion Essential 122,Fashion,Aster & Co.,7577.35,5505.53,5.0,18
P00123,Mosaic Beauty Studio 123,Beauty,Mosaic,227.67,114.61,4.0,41
P00124,Luma Home & Kitchen Everyday 124,Home & Kitchen,Luma,466.12,326.25,4.5,22
P00125,Cedar Lane Sports Max 125,Sports,Cedar Lane,1369.16,814.39,3.9,48
P00126,Orbit Grocery Select 126,Grocery,Orbit,1240.94,767.97,4.4,43
P00127,Solace Books Classic 127,Books,Solace,211.34,146.12,3.7,74
P00128,Pioneer Accessories Plus 128,Accessories,Pioneer,1447.05,1084.87,4.5,51
P00129,Northstar Electronics Pro 129,Electronics,Northstar,4053.62,2696.61,4.7,44
P00130,Aster & Co. Fashion Essential 130,Fashion,Aster & Co.,6725.4,4605.64,3.8,22
P00131,Mosaic Beauty Studio 131,Beauty,Mosaic,242.95,173.92,4.4,63
P00132,Luma Home & Kitchen Everyday 132,Home & Kitchen,Luma,2283.06,1243.46,4.3,70
P00133,Cedar Lane Sports Max 133,Sports,Cedar Lane,1401.66,941.25,4.2,24
P00134,Orbit Grocery Select 134,Grocery,Orbit,270.56,180.7,3.8,38
P00135,Solace Books Classic 135,Books,Solace,1534.16,876.04,3.5,24
P00136,Pioneer Accessories Plus 136,Accessories,Pioneer,4211.94,2326.98,3.9,64
P00137,Northstar Electronics Pro 137,Electronics,Northstar,4435.04,2624.85,3.8,74
P00138,Aster & Co. Fashion Essential 138,Fashion,Aster & Co.,448.61,335.52,4.3,44
P00139,Mosaic Beauty Studio 139,Beauty,Mosaic,860.21,614.76,4.3,16
P00140,Luma Home & Kitchen Everyday 140,Home & Kitchen,Luma,2422.91,1676.92,4.7,50
P00141,Cedar Lane Sports Max 141,Sports,Cedar Lane,6292.78,4418.28,4.4,27
P00142,Orbit Grocery Select 142,Grocery,Orbit,89.57,47.1,3.6,35
P00143,Solace Books Classic 143,Books,Solace,260.52,190.27,4.6,33
P00144,Pioneer Accessories Plus 144,Accessories,Pioneer,447.47,262.98,4.9,18
P00145,Northstar Electronics Pro 145,Electronics,Northstar,9669.95,6802.08,4.4,33
P00146,Aster & Co. Fashion Essential 146,Fashion,Aster & Co.,9461.6,5112.0,4.4,44
P00147,Mosaic Beauty Studio 147,Beauty,Mosaic,4041.11,2500.65,3.7,69
P00148,Luma Home & Kitchen Everyday 148,Home & Kitchen,Luma,409.29,278.53,4.5,47
P00149,Cedar Lane Sports Max 149,Sports,Cedar Lane,9152.76,5896.82,3.8,71
P00150,Orbit Grocery Select 150,Grocery,Orbit,2033.44,1532.97,4.5,55
P00151,Solace Books Classic 151,Books,Solace,1824.65,1248.94,5.0,55
P00152,Pioneer Accessories Plus 152,Accessories,Pioneer,2567.24,1351.97,4.0,73
P00153,Northstar Electronics Pro 153,Electronics,Northstar,2784.61,1901.57,4.7,40
P00154,Aster & Co. Fashion Essential 154,Fashion,Aster & Co.,5737.24,3990.39,4.9,49
P00155,Mosaic Beauty Studio 155,Beauty,Mosaic,1985.46,1254.04,4.5,32
P00156,Luma Home & Kitchen Everyday 156,Home & Kitchen,Luma,2206.39,1589.65,4.2,35
P00157,Cedar Lane Sports Max 157,Sports,Cedar Lane,437.21,263.99,3.4,19
P00158,Orbit Grocery Select 158,Grocery,Orbit,1456.57,942.74,4.0,51
P00159,Solace Books Classic 159,Books,Solace,518.09,323.41,4.3,50
P00160,Pioneer Accessories Plus 160,Accessories,Pioneer,363.69,250.83,4.6,36
P00161,Northstar Electronics Pro 161,Electronics,Northstar,11972.08,9020.29,4.7,18
P00162,Aster & Co. Fashion Essential 162,Fashion,Aster & Co.,7637.34,5197.69,3.4,55
P00163,Mosaic Beauty Studio 163,Beauty,Mosaic,1323.17,852.75,4.1,47
P00164,Luma Home & Kitchen Everyday 164,Home & Kitchen,Luma,2427.26,1205.22,4.4,28
P00165,Cedar Lane Sports Max 165,Sports,Cedar Lane,4092.34,2742.37,4.2,22
P00166,Orbit Grocery Select 166,Grocery,Orbit,274.45,177.0,4.2,52
P00167,Solace Books Classic 167,Books,Solace,1474.72,814.79,4.8,69
P00168,Pioneer Accessories Plus 168,Accessories,Pioneer,6039.85,3253.31,4.3,50
P00169,Northstar Electronics Pro 169,Electronics,Northstar,3178.3,2215.04,4.3,31
P00170,Aster & Co. Fashion Essential 170,Fashion,Aster & Co.,436.0,274.17,4.2,70
P00171,Mosaic Beauty Studio 171,Beauty,Mosaic,889.11,528.0,4.6,27
P00172,Luma Home & Kitchen Everyday 172,Home & Kitchen,Luma,12069.24,6599.57,3.9,45
P00173,Cedar Lane Sports Max 173,Sports,Cedar Lane,3115.98,2287.12,3.3,51
P00174,Orbit Grocery Select 174,Grocery,Orbit,767.82,553.58,4.7,63
P00175,Solace Books Classic 175,Books,Solace,449.16,315.75,4.0,57
P00176,Pioneer Accessories Plus 176,Accessories,Pioneer,2533.09,1792.07,4.6,18
P00177,Northstar Electronics Pro 177,Electronics,Northstar,10372.48,7106.69,4.8,25
P00178,Aster & Co. Fashion Essential 178,Fashion,Aster & Co.,4381.14,3285.74,3.5,32
P00179,Mosaic Beauty Studio 179,Beauty,Mosaic,425.93,274.08,4.2,19
P00180,Luma Home & Kitchen Everyday 180,Home & Kitchen,Luma,15835.87,11692.13,3.6,51
P00181,Cedar Lane Sports Max 181,Sports,Cedar Lane,4070.12,2156.57,5.0,16
P00182,Orbit Grocery Select 182,Grocery,Orbit,267.18,145.31,4.5,63
P00183,Solace Books Classic 183,Books,Solace,229.58,147.3,4.5,57
P00184,Pioneer Accessories Plus 184,Accessories,Pioneer,2940.49,1517.48,3.6,38
P00185,Northstar Electronics Pro 185,Electronics,Northstar,67783.39,42074.3,3.9,46
P00186,Aster & Co. Fashion Essential 186,Fashion,Aster & Co.,742.48,547.78,4.0,69
P00187,Mosaic Beauty Studio 187,Beauty,Mosaic,3674.29,2680.45,4.4,42
P00188,Luma Home & Kitchen Everyday 188,Home & Kitchen,Luma,2442.82,1378.95,4.5,55
P00189,Cedar Lane Sports Max 189,Sports,Cedar Lane,328.95,181.06,4.3,50
P00190,Orbit Grocery Select 190,Grocery,Orbit,169.74,128.99,3.7,72
P00191,Solace Books Classic 191,Books,Solace,1149.59,735.87,4.3,31
P00192,Pioneer Accessories Plus 192,Accessories,Pioneer,594.95,348.01,4.0,15
P00193,Northstar Electronics Pro 193,Electronics,Northstar,2505.2,1387.24,2.9,60
P00194,Aster & Co. Fashion Essential 194,Fashion,Aster & Co.,2445.22,1544.08,3.9,61
P00195,Mosaic Beauty Studio 195,Beauty,Mosaic,2602.07,1569.45,3.6,39
P00196,Luma Home & Kitchen Everyday 196,Home & Kitchen,Luma,351.7,228.78,4.3,70
P00197,Cedar Lane Sports Max 197,Sports,Cedar Lane,1451.23,1001.32,3.8,27
P00198,Orbit Grocery Select 198,Grocery,Orbit,444.29,303.37,4.6,60
P00199,Solace Books Classic 199,Books,Solace,365.99,177.85,4.8,65
P00200,Pioneer Accessories Plus 200,Accessories,Pioneer,462.06,254.2,4.1,43
P00201,Northstar Electronics Pro 201,Electronics,Northstar,17261.31,10787.83,4.2,55
P00202,Aster & Co. Fashion Essential 202,Fashion,Aster & Co.,8915.31,4318.57,4.4,19
P00203,Mosaic Beauty Studio 203,Beauty,Mosaic,198.96,123.66,4.1,16
P00204,Luma Home & Kitchen Everyday 204,Home & Kitchen,Luma,5113.74,2594.19,5.0,54
P00205,Cedar Lane Sports Max 205,Sports,Cedar Lane,3297.48,2452.31,3.2,24
P00206,Orbit Grocery Select 206,Grocery,Orbit,1208.73,905.45,4.6,60
P00207,Solace Books Classic 207,Books,Solace,711.06,446.22,4.2,19
P00208,Pioneer Accessories Plus 208,Accessories,Pioneer,1579.72,758.89,4.0,53
P00209,Northstar Electronics Pro 209,Electronics,Northstar,9190.49,5151.51,4.0,38
P00210,Aster & Co. Fashion Essential 210,Fashion,Aster & Co.,841.76,595.12,5.0,74
P00211,Mosaic Beauty Studio 211,Beauty,Mosaic,1759.57,888.31,4.7,53
P00212,Luma Home & Kitchen Everyday 212,Home & Kitchen,Luma,8665.96,4447.35,4.3,46
P00213,Cedar Lane Sports Max 213,Sports,Cedar Lane,7249.1,4889.74,4.4,59
P00214,Orbit Grocery Select 214,Grocery,Orbit,142.01,71.1,3.9,66
P00215,Solace Books Classic 215,Books,Solace,1174.57,840.17,4.2,36
P00216,Pioneer Accessories Plus 216,Accessories,Pioneer,4359.7,3224.99,3.9,60
P00217,Northstar Electronics Pro 217,Electronics,Northstar,21353.13,15949.99,4.1,19
P00218,Aster & Co. Fashion Essential 218,Fashion,Aster & Co.,7757.52,3833.68,4.7,29
P00219,Mosaic Beauty Studio 219,Beauty,Mosaic,3363.16,2315.27,3.7,49
P00220,Luma Home & Kitchen Everyday 220,Home & Kitchen,Luma,802.04,511.49,2.9,44
P00221,Cedar Lane Sports Max 221,Sports,Cedar Lane,2378.04,1651.76,5.0,47
P00222,Orbit Grocery Select 222,Grocery,Orbit,840.94,603.63,4.4,53
P00223,Solace Books Classic 223,Books,Solace,277.61,194.93,3.7,70
P00224,Pioneer Accessories Plus 224,Accessories,Pioneer,162.47,101.05,4.0,73
P00225,Northstar Electronics Pro 225,Electronics,Northstar,12544.31,7698.28,3.7,60
P00226,Aster & Co. Fashion Essential 226,Fashion,Aster & Co.,4064.79,2390.52,3.8,74
P00227,Mosaic Beauty Studio 227,Beauty,Mosaic,391.66,219.2,4.1,20
P00228,Luma Home & Kitchen Everyday 228,Home & Kitchen,Luma,7171.38,4224.05,4.9,56
P00229,Cedar Lane Sports Max 229,Sports,Cedar Lane,1490.22,1024.36,4.8,69
P00230,Orbit Grocery Select 230,Grocery,Orbit,2432.59,1381.0,3.6,69
P00231,Solace Books Classic 231,Books,Solace,2190.44,1222.9,4.2,38
P00232,Pioneer Accessories Plus 232,Accessories,Pioneer,2812.02,1982.71,4.2,23
P00233,Northstar Electronics Pro 233,Electronics,Northstar,71231.34,38907.19,3.8,54
P00234,Aster & Co. Fashion Essential 234,Fashion,Aster & Co.,4262.75,2106.78,4.6,26
P00235,Mosaic Beauty Studio 235,Beauty,Mosaic,540.33,359.08,4.2,55
P00236,Luma Home & Kitchen Everyday 236,Home & Kitchen,Luma,14601.37,8856.08,4.1,34
P00237,Cedar Lane Sports Max 237,Sports,Cedar Lane,637.95,316.16,4.1,64
P00238,Orbit Grocery Select 238,Grocery,Orbit,61.66,40.79,4.5,66
P00239,Solace Books Classic 239,Books,Solace,662.22,403.14,3.9,60
P00240,Pioneer Accessories Plus 240,Accessories,Pioneer,2055.87,1499.71,4.7,26
P00241,Northstar Electronics Pro 241,Electronics,Northstar,8290.29,5913.94,3.8,58
P00242,Aster & Co. Fashion Essential 242,Fashion,Aster & Co.,8639.28,5187.12,4.3,50
P00243,Mosaic Beauty Studio 243,Beauty,Mosaic,581.77,372.85,4.1,24
P00244,Luma Home & Kitchen Everyday 244,Home & Kitchen,Luma,1081.46,634.95,4.1,58
P00245,Cedar Lane Sports Max 245,Sports,Cedar Lane,3043.07,1557.71,3.7,31
P00246,Orbit Grocery Select 246,Grocery,Orbit,96.43,67.24,4.1,59
P00247,Solace Books Classic 247,Books,Solace,154.32,98.15,4.3,63
P00248,Pioneer Accessories Plus 248,Accessories,Pioneer,1476.35,746.8,4.0,51
P00249,Northstar Electronics Pro 249,Electronics,Northstar,13490.93,6529.69,4.3,47
P00250,Aster & Co. Fashion Essential 250,Fashion,Aster & Co.,1616.83,982.98,4.8,28
P00251,Mosaic Beauty Studio 251,Beauty,Mosaic,2720.56,1900.06,3.6,68
P00252,Luma Home & Kitchen Everyday 252,Home & Kitchen,Luma,1562.49,909.86,5.0,28
P00253,Cedar Lane Sports Max 253,Sports,Cedar Lane,2263.51,1371.96,3.9,18
P00254,Orbit Grocery Select 254,Grocery,Orbit,1472.7,1015.18,4.6,37
P00255,Solace Books Classic 255,Books,Solace,2145.36,1442.52,4.2,45
P00256,Pioneer Accessories Plus 256,Accessories,Pioneer,1628.36,1217.06,4.4,60
P00257,Northstar Electronics Pro 257,Electronics,Northstar,7632.42,3846.8,3.8,39
P00258,Aster & Co. Fashion Essential 258,Fashion,Aster & Co.,7062.78,4091.41,5.0,19
P00259,Mosaic Beauty Studio 259,Beauty,Mosaic,272.24,149.11,3.8,49
P00260,Luma Home & Kitchen Everyday 260,Home & Kitchen,Luma,1647.95,883.76,4.1,38
P00261,Cedar Lane Sports Max 261,Sports,Cedar Lane,7124.26,4600.16,4.5,19
P00262,Orbit Grocery Select 262,Grocery,Orbit,368.54,271.4,4.0,36
P00263,Solace Books Classic 263,Books,Solace,678.48,455.12,4.7,54
P00264,Pioneer Accessories Plus 264,Accessories,Pioneer,1272.56,768.31,4.8,35
P00265,Northstar Electronics Pro 265,Electronics,Northstar,28140.86,15364.62,4.3,39
P00266,Aster & Co. Fashion Essential 266,Fashion,Aster & Co.,3743.68,2315.14,3.3,27
P00267,Mosaic Beauty Studio 267,Beauty,Mosaic,645.76,373.92,4.3,31
P00268,Luma Home & Kitchen Everyday 268,Home & Kitchen,Luma,4750.45,2301.64,4.0,72
P00269,Cedar Lane Sports Max 269,Sports,Cedar Lane,658.95,381.47,4.0,74
P00270,Orbit Grocery Select 270,Grocery,Orbit,161.68,98.37,4.1,72
P00271,Solace Books Classic 271,Books,Solace,291.46,184.44,4.1,66
P00272,Pioneer Accessories Plus 272,Accessories,Pioneer,2512.75,1888.3,5.0,20
P00273,Northstar Electronics Pro 273,Electronics,Northstar,4282.77,2961.37,4.0,69
P00274,Aster & Co. Fashion Essential 274,Fashion,Aster & Co.,410.28,309.67,3.2,17
P00275,Mosaic Beauty Studio 275,Beauty,Mosaic,912.45,478.39,4.1,37
P00276,Luma Home & Kitchen Everyday 276,Home & Kitchen,Luma,1017.16,713.25,3.7,37
P00277,Cedar Lane Sports Max 277,Sports,Cedar Lane,322.08,204.22,3.4,50
P00278,Orbit Grocery Select 278,Grocery,Orbit,193.93,109.41,4.3,73
P00279,Solace Books Classic 279,Books,Solace,1662.74,1097.03,4.0,66
P00280,Pioneer Accessories Plus 280,Accessories,Pioneer,395.27,278.14,4.1,22
P00281,Northstar Electronics Pro 281,Electronics,Northstar,71235.95,53089.05,4.2,45
P00282,Aster & Co. Fashion Essential 282,Fashion,Aster & Co.,7394.61,5200.83,4.6,33
P00283,Mosaic Beauty Studio 283,Beauty,Mosaic,281.22,183.05,4.1,55
P00284,Luma Home & Kitchen Everyday 284,Home & Kitchen,Luma,1694.86,1194.85,4.9,30
P00285,Cedar Lane Sports Max 285,Sports,Cedar Lane,4000.97,2566.44,3.7,19
P00286,Orbit Grocery Select 286,Grocery,Orbit,2195.83,1149.58,4.8,24
P00287,Solace Books Classic 287,Books,Solace,123.24,83.98,4.8,24
P00288,Pioneer Accessories Plus 288,Accessories,Pioneer,4130.13,2437.51,4.4,37
P00289,Northstar Electronics Pro 289,Electronics,Northstar,20060.9,9694.35,3.4,63
P00290,Aster & Co. Fashion Essential 290,Fashion,Aster & Co.,1318.16,943.63,3.6,71
P00291,Mosaic Beauty Studio 291,Beauty,Mosaic,1005.14,551.46,3.6,33
P00292,Luma Home & Kitchen Everyday 292,Home & Kitchen,Luma,282.48,213.88,4.6,53
P00293,Cedar Lane Sports Max 293,Sports,Cedar Lane,809.45,525.54,4.4,29
P00294,Orbit Grocery Select 294,Grocery,Orbit,1393.85,984.32,4.2,54
P00295,Solace Books Classic 295,Books,Solace,184.52,122.58,4.4,29
P00296,Pioneer Accessories Plus 296,Accessories,Pioneer,1290.15,822.8,4.2,70
P00297,Northstar Electronics Pro 297,Electronics,Northstar,56891.1,34665.63,4.0,65
P00298,Aster & Co. Fashion Essential 298,Fashion,Aster & Co.,7403.13,5407.52,4.7,19
P00299,Mosaic Beauty Studio 299,Beauty,Mosaic,544.63,397.59,3.1,33
P00300,Luma Home & Kitchen Everyday 300,Home & Kitchen,Luma,1132.27,754.23,3.7,34
P00301,Cedar Lane Sports Max 301,Sports,Cedar Lane,517.75,313.32,4.9,42
P00302,Orbit Grocery Select 302,Grocery,Orbit,813.15,574.37,4.6,65
P00303,Solace Books Classic 303,Books,Solace,1366.77,792.13,4.8,21
P00304,Pioneer Accessories Plus 304,Accessories,Pioneer,1405.01,679.34,3.8,20
P00305,Northstar Electronics Pro 305,Electronics,Northstar,3782.2,2680.51,4.7,63
P00306,Aster & Co. Fashion Essential 306,Fashion,Aster & Co.,1186.38,572.48,4.6,21
P00307,Mosaic Beauty Studio 307,Beauty,Mosaic,285.37,214.94,4.6,47
P00308,Luma Home & Kitchen Everyday 308,Home & Kitchen,Luma,317.69,157.75,4.7,47
P00309,Cedar Lane Sports Max 309,Sports,Cedar Lane,1043.23,587.44,4.4,19
P00310,Orbit Grocery Select 310,Grocery,Orbit,2014.32,1174.92,4.2,60
P00311,Solace Books Classic 311,Books,Solace,280.75,148.51,4.5,38
P00312,Pioneer Accessories Plus 312,Accessories,Pioneer,205.38,145.72,4.5,64
