order_id,product_id,quantity,unit_price,discount,line_revenue,cost
O0000030,P00216,2,4359.7,1926.09,9234.74,6449.98
O0000030,P00167,2,1474.72,651.52,3123.76,1629.58
O0000030,P00064,2,733.13,323.89,1552.92,831.4
O0000031,P00203,3,198.96,33.93,562.95,370.98
O0000031,P00511,1,1631.89,92.76,1539.13,1054.47
O0000032,P00057,1,7252.41,1362.29,5890.12,5053.67
O0000032,P00350,3,535.98,302.04,1305.9,1197.36
O0000033,P00467,2,292.07,28.47,555.67,382.96
O0000034,P00487,1,408.3,42.44,365.86,256.06
O0000035,P00105,1,87879.89,10809.09,101677.17,47404.0
O0000035,P00259,2,272.24,66.97,629.96,298.22
O0000036,P00324,1,915.92,120.25,795.67,508.16
O0000037,P00308,1,317.69,68.73,248.96,157.75
O0000038,P00095,1,873.36,82.93,790.43,593.21
O0000038,P00165,3,4092.34,1165.8,11111.22,8227.11
O0000038,P00229,3,1490.22,424.52,4046.14,3073.08
O0000039,P00295,3,184.52,192.6,515.96,367.74
O0000040,P00374,3,714.05,204.92,1937.23,1535.04
O0000041,P00093,2,959.55,107.79,1811.31,1175.9
O0000042,P00410,1,467.9,19.85,448.05,342.58
O0000043,P00466,2,732.93,267.41,1608.89,1046.84
O0000044,P00351,3,1141.94,499.16,2926.66,2019.84
O0000045,P00378,1,2432.01,522.56,2590.42,1354.87
O0000046,P00456,3,5418.19,2514.31,13740.26,8452.59
O0000047,P00489,1,3980.51,667.66,3312.85,2029.91
O0000048,P00016,2,881.76,134.07,1629.45,1180.12
O0000048,P00567,1,429.21,32.63,396.58,243.01
O0000049,P00483,1,967.08,94.95,872.13,473.22
O0000049,P00218,2,7757.52,1523.29,13991.75,7667.36
O0000049,P00527,2,633.06,124.31,1141.81,744.42
O0000049,P00164,2,2427.26,476.62,4377.9,2410.44
O0000050,P00207,3,711.06,217.9,1915.28,1338.66
O0000050,P00438,1,190.8,19.49,171.31,112.24
O0000050,P00427,1,1146.53,117.12,1029.41,700.05
O0000050,P00562,1,6945.23,709.46,6235.77,5214.82
O0000051,P00549,2,975.59,512.33,1985.18,962.52
O0000052,P00520,1,606.95,20.67,586.28,297.8
O0000053,P00320,2,209.86,59.88,359.84,259.76
O0000054,P00404,3,310.31,254.1,937.49,462.69
O0000055,P00484,2,1471.11,0.0,3766.04,1771.72
O0000055,P00225,3,12544.31,0.0,48170.15,23094.84
O0000056,P00175,3,449.16,159.51,1565.27,947.25
O0000057,P00235,1,540.33,9.51,530.82,359.08
O0000057,P00516,2,1002.54,35.31,1969.77,1412.16
O0000057,P00569,1,22762.79,400.8,22361.99,17186.9
O0000057,P00277,2,322.08,11.34,632.82,408.44
O0000058,P00589,1,576.58,57.4,519.18,278.33
O0000058,P00133,2,1401.66,279.08,2524.24,1882.5
O0000058,P00249,2,13490.93,2686.13,24295.73,13059.38
O0000059,P00276,1,1017.16,129.92,1172.05,713.25
O0000060,P00064,3,733.13,204.14,1995.25,1247.1
O0000061,P00235,2,540.33,233.59,847.07,718.16
O0000062,P00197,1,1451.23,250.92,1606.65,1001.32
O0000063,P00066,3,684.29,166.45,2461.22,1482.45
O0000064,P00415,3,145.86,30.1,407.48,278.22
O0000065,P00550,2,519.45,172.84,1156.95,587.8
O0000065,P00565,3,9571.34,4777.18,31976.76,15087.09
O0000066,P00222,2,840.94,298.78,1383.1,1207.26
O0000066,P00517,3,11946.78,6366.8,29473.54,21059.25
O0000066,P00041,1,7162.94,1272.45,5890.49,5370.6
O0000067,P00025,1,19141.98,1079.3,18062.68,11822.38
O0000068,P00546,1,1504.22,345.29,1158.93,1075.62
O0000069,P00085,2,479.05,0.0,958.1,596.74
O0000070,P00540,1,6679.68,515.4,6164.28,4996.0
O0000071,P00594,2,570.33,114.65,1026.01,731.96
O0000071,P00416,3,656.73,198.04,1772.15,1386.75
O0000071,P00310,2,2014.32,404.94,3623.7,2349.84
O0000072,P00462,1,2170.74,348.88,1821.86,1418.33
O0000072,P00143,3,260.52,125.61,655.95,570.81
O0000072,P00157,3,437.21,210.81,1100.82,791.97
O0000073,P00260,3,1647.95,426.64,4517.21,2651.28
O0000073,P00373,3,7305.82,1891.4,20026.06,16629.99
O0000074,P00220,1,802.04,168.97,633.07,511.49
O0000074,P00446,2,812.45,342.33,1282.57,781.4
O0000074,P00251,1,2720.56,573.17,2147.39,1900.06
O0000075,P00045,2,1427.93,158.56,2697.3,1517.68
O0000076,P00523,3,1154.41,458.67,3004.56,2000.82
O0000076,P00084,3,6086.74,2418.36,15841.86,11306.1
O0000077,P00163,2,1323.17,303.6,2342.74,1705.5
O0000077,P00402,2,418.67,96.06,741.28,510.46
O0000078,P00562,3,6945.23,4765.01,16070.68,15644.46
O0000078,P00466,3,732.93,502.85,1695.94,1570.26
O0000079,P00118,3,261.1,172.27,830.36,381.6
O0000080,P00413,2,1474.97,633.74,2316.2,1574.94
O0000081,P00199,1,365.99,46.37,319.62,177.85
O0000081,P00004,1,12776.37,1618.66,11157.71,8407.41
O0000081,P00130,2,6725.4,1704.11,11746.69,9211.28
O0000082,P00350,1,535.98,37.9,498.08,399.12
O0000083,P00422,3,296.76,145.7,744.58,486.18
O0000083,P00358,3,423.04,207.69,1061.43,801.15
O0000084,P00256,2,1628.36,743.5,2513.22,2434.12
O0000084,P00324,1,915.92,209.1,706.82,508.16
O0000085,P00453,1,609.43,144.18,465.25,418.83
O0000085,P00157,1,437.21,103.43,333.78,263.99
O0000085,P00254,1,1472.7,348.41,1124.29,1015.18
O0000086,P00352,1,307.6,24.31,283.29,185.99
O0000087,P00557,3,3912.61,1018.94,14005.49,6303.39
O0000088,P00352,2,307.6,122.94,492.26,371.98
O0000089,P00185,1,67783.39,7484.29,60299.1,42074.3
O0000090,P00368,2,337.89,58.08,617.7,438.68
O0000091,P00013,2,787.31,187.43,1387.19,1064.82
O0000091,P00088,3,181.42,64.79,479.47,289.14
O0000092,P00405,2,4085.07,2444.81,8012.97,5919.42
O0000092,P00505,1,16961.72,5075.58,16635.42,9098.57
O0000093,P00235,1,540.33,22.86,668.76,359.08
O0000094,P00121,3,5610.52,2482.57,14348.99,9172.74
O0000095,P00461,1,1234.7,58.78,1175.92,931.53
O0000096,P00358,2,423.04,175.12,907.86,534.1
O0000097,P00126,1,1240.94,120.28,1120.66,767.97
O0000098,P00077,2,2218.97,242.72,4195.22,2187.6
O0000098,P00574,3,852.53,139.88,2417.71,1826.73
O0000099,P00158,3,1456.57,613.32,4979.91,2828.22
O0000100,P00261,1,7124.26,700.03,6424.23,4600.16
O0000100,P00135,1,1534.16,150.75,1383.41,876.04
O0000101,P00273,2,4282.77,1302.15,7263.39,5922.74
O0000101,P00235,3,540.33,246.43,1374.56,1077.24
O0000101,P00449,1,6329.61,962.24,5367.37,3558.71
O0000102,P00587,2,1424.53,767.72,2081.34,1991.42
O0000103,P00233,2,71231.34,15712.49,126750.19,77814.38
O0000104,P00187,2,3674.29,1273.12,6075.46,5360.9
O0000104,P00158,1,1456.57,252.35,1204.22,942.74
O0000105,P00044,2,4351.12,1378.42,7323.82,4488.12
O0000106,P00390,2,2151.74,341.79,3961.69,2976.96
O0000106,P00109,1,1721.33,136.71,1584.62,849.62
O0000106,P00503,2,121.12,19.24,223.0,128.86
O0000106,P00373,1,7305.82,580.24,6725.58,5543.33
O0000107,P00151,2,1824.65,175.93,3473.37,2497.88
O0000107,P00414,1,235.82,11.37,224.45,168.51
O0000108,P00597,2,2476.03,306.9,4645.16,2543.66
O0000108,P00479,2,265.58,32.92,498.24,290.3
O0000108,P00358,3,423.04,78.65,1190.47,801.15
O0000108,P00439,3,966.09,179.62,2718.65,1574.01
O0000109,P00375,2,1538.6,283.89,2793.31,2096.34
O0000110,P00301,1,517.75,57.22,460.53,313.32
O0000110,P00334,1,717.53,79.3,638.23,386.87
O0000111,P00166,2,274.45,4.39,698.2,354.0
O0000111,P00251,2,2720.56,43.54,6921.09,3800.12
O0000111,P00560,1,167.12,1.34,212.58,110.18
O0000112,P00069,3,9839.28,1821.91,27695.93,22381.14
O0000113,P00576,2,160.79,58.82,262.76,157.7
O0000113,P00255,3,2145.36,1177.25,5258.83,4327.56
O0000114,P00253,3,2263.51,2413.07,6278.81,4115.88
O0000114,P00424,2,948.05,673.79,1753.21,1359.74
O0000114,P00407,2,1622.94,1153.45,3001.28,1585.92
O0000115,P00545,3,58415.48,29948.09,145298.35,96242.55
O0000116,P00302,3,813.15,337.63,2101.82,1723.11
O0000117,P00084,3,6086.74,3905.7,19467.38,11306.1
O0000117,P00150,1,2033.44,434.94,2167.87,1532.97
O0000117,P00398,2,509.63,218.01,1086.64,720.14
O0000118,P00309,3,1043.23,72.02,3933.98,1762.32
O0000118,P00163,3,1323.17,91.34,4989.63,2558.25
O0000119,P00267,1,645.76,140.14,505.62,373.92
O0000119,P00365,2,4868.61,2113.14,7624.08,5709.28
O0000119,P00493,2,686.86,298.12,1075.6,943.9
O0000119,P00326,3,336.02,218.77,789.29,596.07
O0000120,P00359,3,878.96,354.63,2282.25,1467.75
O0000121,P00584,3,859.28,0.0,3299.64,1436.07
O0000122,P00557,1,3912.61,359.99,3552.62,2101.13
O0000123,P00012,1,979.63,127.08,852.55,661.13
O0000124,P00580,3,3527.12,2803.08,10741.06,7314.0
O0000125,P00278,3,193.93,116.0,628.69,328.23
O0000126,P00283,1,281.22,11.1,270.12,183.05
O0000126,P00174,1,767.82,30.31,737.51,553.58
O0000126,P00377,2,68689.91,5423.37,131956.45,87185.34
O0000126,P00534,1,1757.99,69.4,1688.59,1083.72
O0000127,P00549,1,975.59,88.66,886.93,481.26
O0000128,P00167,1,1474.72,132.6,1342.12,814.79
O0000128,P00470,3,800.15,215.83,2184.62,1822.38
O0000128,P00333,2,2111.53,379.7,3843.36,2777.68
O0000129,P00587,1,1424.53,223.38,1600.02,995.71
O0000129,P00221,2,2378.04,745.79,5341.99,3303.52
O0000129,P00002,3,1129.53,531.36,3806.04,2376.57
O0000130,P00330,3,961.23,371.57,2512.12,1528.65
O0000131,P00312,2,205.38,24.71,386.05,291.44
O0000131,P00580,2,3527.12,424.36,6629.88,4876.0
O0000132,P00486,2,536.21,107.23,965.19,770.68
O0000133,P00185,2,67783.39,13711.8,121854.98,84148.6
O0000133,P00083,1,669.83,67.75,602.08,387.77
O0000133,P00042,1,1178.13,119.16,1058.97,598.81
O0000133,P00076,1,2261.28,228.72,2032.56,1095.84
O0000134,P00357,3,481.88,284.14,1161.5,1025.88
O0000134,P00060,1,602.22,118.37,483.85,382.04
O0000135,P00072,1,227.17,17.9,209.27,167.3
O0000136,P00554,3,558.21,314.6,1360.03,1199.4
O0000137,P00215,3,1174.57,743.22,2780.49,2520.51
O0000137,P00227,1,391.66,82.61,309.05,219.2
O0000137,P00528,2,1007.74,425.1,1590.38,1421.6
O0000138,P00062,2,1849.05,408.59,3289.51,2383.92
O0000139,P00117,3,661.07,376.87,1606.34,1434.81
O0000140,P00336,2,2488.04,1393.08,3583.0,2951.14
O0000140,P00444,3,3777.5,3172.59,8159.91,5709.54
O0000141,P00521,2,32141.29,426.63,63855.95,39691.9
O0000141,P00462,2,2170.74,28.81,4312.67,2836.66
O0000142,P00343,2,875.57,35.68,1715.46,846.82
O0000143,P00392,2,2343.95,325.07,4362.83,2625.96
O0000143,P00334,2,717.53,99.51,1335.55,773.74
O0000143,P00526,1,639.69,44.36,595.33,442.01
O0000144,P00469,2,1552.59,688.49,2416.69,2354.66
O0000145,P00509,2,693.02,239.76,1146.28,901.18
O0000146,P00245,1,3043.07,391.32,2651.75,1557.71
O0000146,P00577,1,30439.56,3914.32,26525.24,17158.64
O0000147,P00063,2,416.2,60.19,1005.28,514.44
O0000148,P00094,1,190.65,3.73,186.92,138.58
O0000149,P00577,3,30439.56,8408.92,82909.76,51475.92
O0000150,P00354,3,7163.38,3898.38,17591.76,15707.58
O0000150,P00493,3,686.86,373.8,1686.78,1415.85
O0000151,P00125,1,1369.16,153.02,1216.14,814.39
O0000152,P00171,3,889.11,551.09,2116.24,1584.0
O0000153,P00418,1,2444.95,691.71,2437.82,1440.73
O0000153,P00218,2,7757.52,4389.43,15469.82,7667.36
O0000154,P00092,3,5132.19,1992.37,17715.24,9623.19
O0000155,P00516,3,1002.54,382.73,2624.89,2118.24
O0000156,P00471,3,282.58,91.04,756.7,434.94
O0000156,P00402,2,418.67,89.92,747.42,510.46
O0000157,P00468,3,7038.98,2457.6,24572.08,11957.4
O0000158,P00156,3,2206.39,831.61,7640.93,4768.95
O0000158,P00599,2,636.27,159.88,1468.97,850.72
O0000159,P00201,1,17261.31,4551.5,12709.81,10787.83
O0000159,P00444,1,3777.5,996.06,2781.44,1903.18
O0000159,P00486,3,536.21,424.17,1184.46,1156.02
O0000159,P00322,1,2231.08,588.3,1642.78,1566.3
O0000160,P00083,1,669.83,29.8,640.03,387.77
O0000161,P00408,1,256.86,41.1,215.76,129.31
O0000162,P00177,2,10372.48,2973.11,23580.44,14213.38
O0000162,P00033,3,2045.79,879.59,6976.24,3090.12
O0000162,P00163,3,1323.17,568.9,4512.07,2558.25
O0000163,P00252,3,1562.49,547.03,4140.44,2729.58
O0000163,P00459,1,3786.43,441.88,3344.55,2668.33
O0000164,P00558,3,909.52,294.6,2433.96,1369.05
O0000165,P00518,1,187.0,0.15,186.85,113.05
O0000165,P00485,3,8499.66,20.49,25478.49,14245.86
O0000166,P00403,1,327.95,0.0,419.78,199.42
O0000167,P00193,3,2505.2,1484.94,6030.66,4161.72
O0000168,P00246,1,96.43,13.03,83.4,67.24
O0000168,P00487,1,408.3,55.15,353.15,256.06
O0000169,P00088,1,181.42,28.22,153.2,96.38
O0000170,P00593,2,15717.98,7583.11,32654.92,20098.64
O0000171,P00297,3,56891.1,19743.57,150929.73,103996.89
O0000171,P00224,2,162.47,37.59,287.35,202.1
O0000172,P00574,3,852.53,399.11,2158.48,1826.73
O0000172,P00552,1,801.47,125.07,676.4,424.89
O0000173,P00160,1,363.69,35.98,327.71,250.83
O0000174,P00004,2,12776.37,4401.98,21150.76,16814.82
O0000175,P00251,1,2720.56,73.94,3408.38,1900.06
O0000175,P00560,3,167.12,13.63,628.12,330.54
O0000175,P00421,2,1586.91,86.25,3976.24,1526.36
O0000176,P00020,2,5674.3,1122.22,10226.38,6445.86
O0000176,P00298,2,7403.13,1464.13,13342.13,10815.04
O0000176,P00077,1,2218.97,219.43,1999.54,1093.8
O0000177,P00534,1,1757.99,266.47,1983.76,1083.72
O0000178,P00462,1,2170.74,272.79,1897.95,1418.33
O0000178,P00041,1,7162.94,900.15,6262.79,5370.6
O0000179,P00549,3,975.59,238.45,2688.32,1443.78
O0000180,P00503,2,121.12,44.71,265.35,128.86
O0000180,P00316,2,10736.77,3963.73,23522.4,13283.6
O0000181,P00214,1,142.01,15.3,126.71,71.1
O0000182,P00332,2,13769.78,2576.4,32674.23,13976.24
O0000182,P00277,3,322.08,90.39,1146.39,612.66
O0000182,P00007,1,420.27,39.32,498.63,279.77
O0000183,P00573,2,1449.34,191.93,2706.75,1512.96
O0000184,P00463,2,614.07,95.79,1132.35,932.78
O0000185,P00199,2,365.99,130.97,601.01,355.7
O0000186,P00425,1,1969.3,612.1,1357.2,1215.08
O0000186,P00348,2,993.56,617.64,1369.48,1233.34
O0000187,P00568,3,571.32,100.98,1612.98,925.11
O0000188,P00200,2,462.06,150.95,773.17,508.4
O0000189,P00574,2,852.53,0.0,1705.06,1217.82
O0000190,P00190,3,169.74,0.0,509.22,386.97
O0000190,P00277,3,322.08,0.0,966.24,612.66
O0000190,P00072,1,227.17,0.0,227.17,167.3
O0000191,P00390,2,2151.74,0.0,4303.48,2976.96
O0000191,P00510,2,1436.91,0.0,2873.82,2160.8
O0000191,P00335,3,567.98,0.0,1703.94,856.23
O0000192,P00139,1,860.21,89.98,770.23,614.76
O0000193,P00092,3,5132.19,1740.89,13655.68,9623.19
O0000193,P00433,2,53622.16,12126.13,95118.19,71887.6
O0000194,P00032,1,1864.05,572.77,1813.21,961.73
O0000194,P00500,2,1824.55,1121.27,3549.58,1933.6
O0000194,P00511,2,1631.89,1002.87,3174.76,2108.94
O0000194,P00505,1,16961.72,5211.89,16499.11,9098.57
O0000195,P00366,2,848.44,0.0,1696.88,937.4
O0000196,P00489,1,3980.51,350.85,4744.2,2029.91
O0000197,P00063,2,416.2,180.45,885.02,514.44
O0000198,P00086,2,209.85,73.0,346.7,202.54
O0000198,P00574,1,852.53,148.29,704.24,608.91
O0000199,P00229,3,1490.22,0.0,4470.66,3073.08
O0000199,P00522,3,1719.6,0.0,5158.8,3158.16
O0000200,P00099,2,339.49,109.9,569.08,356.48
O0000201,P00552,3,801.47,624.97,1779.44,1274.67
O0000201,P00197,1,1451.23,377.21,1074.02,1001.32
O0000202,P00038,2,1655.58,33.58,3277.58,1789.42
O0000202,P00406,2,732.43,14.86,1450.0,1093.9
O0000203,P00041,1,7162.94,1078.08,6084.86,5370.6
O0000204,P00024,1,941.49,31.26,910.23,476.4
O0000204,P00305,2,3782.2,251.14,7313.26,5361.02
O0000205,P00189,2,328.95,47.8,794.32,362.12
O0000206,P00026,2,651.57,65.31,1237.83,969.26
O0000207,P00489,3,3980.51,1172.95,10768.58,6089.73
O0000208,P00375,3,1538.6,757.26,3858.54,3144.51
O0000209,P00324,1,915.92,114.16,801.76,508.16
O0000210,P00090,2,1309.04,44.44,2573.64,1642.1
O0000211,P00330,2,961.23,142.77,1779.69,1019.1
O0000211,P00024,1,941.49,69.92,871.57,476.4
O0000212,P00200,1,462.06,86.92,375.14,254.2
O0000213,P00252,1,1562.49,109.63,1452.86,909.86
O0000213,P00358,3,423.04,89.05,1180.07,801.15
O0000214,P00454,2,883.47,79.22,1687.72,902.3
O0000214,P00577,2,30439.56,2729.38,58149.74,34317.28
O0000214,P00108,1,4153.71,186.22,3967.49,2028.89
O0000215,P00020,1,5674.3,470.18,5204.12,3222.93
O0000215,P00529,2,8900.55,1475.03,16326.07,9839.48
O0000215,P00165,1,4092.34,339.1,3753.24,2742.37
O0000216,P00235,3,540.33,357.33,1717.53,1077.24
O0000216,P00285,2,4000.97,1763.96,8478.52,5132.88
O0000216,P00168,2,6039.85,2662.87,12799.14,6506.62
O0000216,P00082,2,8998.39,3967.24,19068.63,11269.32
O0000217,P00118,3,261.1,40.11,962.51,381.6
O0000217,P00242,1,8639.28,442.38,10615.9,5187.12
O0000218,P00217,3,21353.13,3502.12,60557.27,47849.97
O0000218,P00529,1,8900.55,486.59,8413.96,4919.74
O0000219,P00159,1,518.09,14.26,503.83,323.41
O0000220,P00452,3,8573.01,309.89,32610.47,16153.62
O0000220,P00246,3,96.43,3.49,366.81,201.72
O0000220,P00162,3,7637.34,276.07,29051.32,15593.07
O0000221,P00504,1,289.9,13.29,276.61,156.47
O0000221,P00317,3,4383.11,602.93,12546.4,7575.0
O0000221,P00066,2,684.29,62.75,1305.83,988.3
O0000222,P00446,1,812.45,73.56,738.89,390.7
O0000222,P00232,1,2812.02,254.61,2557.41,1982.71
O0000223,P00540,2,6679.68,43.49,13315.87,9992.0
O0000223,P00150,3,2033.44,19.86,6080.46,4598.91
O0000224,P00171,1,889.11,173.06,716.05,528.0
O0000224,P00001,1,3624.74,705.53,2919.21,2389.34
O0000225,P00047,1,347.24,42.9,304.34,170.86
O0000225,P00308,3,317.69,117.73,835.34,473.25
O0000225,P00557,1,3912.61,483.33,3429.28,2101.13
O0000226,P00536,3,253.23,52.17,707.52,510.6
O0000226,P00341,1,442.0,30.35,411.65,222.63
O0000227,P00291,1,1005.14,4.58,1000.56,551.46
O0000227,P00588,3,4549.62,62.18,13586.68,7449.15
O0000228,P00421,3,1586.91,795.81,3964.92,2289.54
O0000228,P00098,1,4041.76,675.62,3366.14,2538.44
O0000229,P00051,1,2318.96,33.47,2285.49,1305.52
O0000229,P00038,2,1655.58,47.79,3263.37,1789.42
O0000230,P00180,3,15835.87,7065.93,40441.68,35076.39
O0000231,P00284,3,1694.86,896.35,4188.23,3584.55
O0000232,P00533,2,5752.76,722.72,10782.8,6987.54
O0000233,P00205,2,3297.48,493.4,6101.56,4904.62
O0000233,P00122,1,7577.35,566.89,7010.46,5505.53
O0000234,P00588,2,4549.62,693.89,8405.35,4966.1
O0000234,P00118,1,261.1,19.91,241.19,127.2
O0000234,P00358,2,423.04,64.52,781.56,534.1
O0000234,P00590,3,1544.03,353.23,4278.86,3013.56
O0000235,P00282,3,7394.61,1276.39,20907.44,15602.49
O0000235,P00396,3,4068.64,702.29,11503.63,6000.99
O0000235,P00316,3,10736.77,1853.28,30357.03,19925.4
O0000236,P00386,3,1158.96,527.15,2949.73,2041.17
O0000237,P00555,2,285.28,189.83,540.49,418.82
O0000238,P00349,1,4317.45,1185.15,4341.19,2234.3
O0000238,P00327,1,966.97,265.44,972.29,586.65
O0000239,P00565,2,9571.34,55.97,24446.66,10058.06
O0000240,P00139,2,860.21,143.48,1576.94,1229.52
O0000241,P00527,1,633.06,77.22,555.84,372.21
O0000241,P00529,1,8900.55,1085.62,7814.93,4919.74
O0000242,P00136,3,4211.94,1696.65,10939.17,6980.94
O0000242,P00312,3,205.38,82.73,533.41,437.16
O0000243,P00010,1,4868.04,626.04,4242.0,3163.64
O0000243,P00059,1,230.4,29.63,200.77,124.28
O0000244,P00242,2,8639.28,1701.23,15577.33,10374.24
O0000245,P00311,3,280.75,266.14,811.94,445.53
O0000246,P00123,3,227.67,74.63,799.63,343.83
O0000247,P00355,2,254.16,60.56,447.76,295.9
O0000248,P00453,2,609.43,330.77,888.09,837.66
O0000248,P00130,2,6725.4,3650.25,9800.55,9211.28
O0000248,P00009,1,9882.27,2681.83,7200.44,5573.58
O0000248,P00062,2,1849.05,1003.58,2694.52,2383.92
O0000249,P00240,1,2055.87,302.53,1753.34,1499.71
O0000250,P00377,3,68689.91,25881.81,237887.45,130778.01
O0000251,P00444,3,3777.5,1925.46,12580.14,5709.54
O0000252,P00246,1,96.43,12.42,111.01,67.24
O0000253,P00176,3,2533.09,1654.43,5944.84,5376.21
O0000253,P00196,3,351.7,229.71,825.39,686.34
O0000253,P00448,3,466.32,304.57,1094.39,905.7
O0000254,P00433,2,53622.16,29836.3,107436.43,71887.6
O0000254,P00290,3,1318.16,1100.17,3961.56,2830.89
O0000255,P00475,3,692.56,249.91,1827.77,1003.71
O0000255,P00426,1,1186.9,142.76,1044.14,835.19
O0000256,P00185,3,67783.39,0.0,203350.17,126222.9
O0000257,P00520,3,606.95,304.45,1516.4,893.4
O0000257,P00220,3,802.04,402.31,2003.81,1534.47
O0000258,P00335,3,567.98,349.1,1354.84,856.23
O0000259,P00321,2,24049.24,11486.26,36612.22,29704.56
O0000260,P00033,1,2045.79,246.11,1799.68,1030.04
O0000261,P00233,1,71231.34,5663.91,65567.43,38907.19
O0000262,P00142,1,89.57,7.52,82.05,47.1
O0000263,P00446,2,812.45,353.76,1271.14,781.4
O0000263,P00434,1,990.12,215.56,774.56,659.8
O0000263,P00273,3,4282.77,2797.23,10051.08,8884.11
O0000264,P00031,3,746.34,198.7,2040.32,1276.17
O0000265,P00473,2,15195.53,2722.51,27668.55,14717.14
O0000266,P00297,1,56891.1,10333.89,46557.21,34665.63
O0000267,P00266,3,3743.68,788.37,10442.67,6945.42
O0000268,P00308,3,317.69,38.12,914.95,473.25
O0000268,P00259,3,272.24,32.67,784.05,447.33
O0000269,P00251,3,2720.56,1290.47,6871.21,5700.18
O0000269,P00013,3,787.31,373.45,1988.48,1597.23
O0000270,P00421,2,1586.91,438.66,2735.16,1526.36
O0000271,P00026,1,651.57,142.9,508.67,484.63
O0000272,P00328,3,6055.27,2171.42,21080.81,12196.38
O0000272,P00146,3,9461.6,3392.94,32939.61,15336.0
O0000272,P00195,2,2602.07,622.07,6039.23,3138.9
O0000273,P00096,3,866.54,527.91,2071.71,1947.09
O0000273,P00314,3,4335.8,2641.45,10365.95,8578.47
O0000274,P00085,3,479.05,228.82,1208.33,895.11
O0000275,P00374,3,714.05,593.57,1548.58,1535.04
O0000276,P00240,2,2055.87,607.91,4655.12,2999.42
O0000277,P00293,3,809.45,434.26,1994.09,1576.62
O0000277,P00521,3,32141.29,17243.29,79180.58,59537.85
O0000278,P00110,1,151.67,12.54,139.13,112.31
O0000279,P00352,1,307.6,29.54,278.06,185.99
O0000280,P00039,2,966.99,0.0,1933.98,1384.38
O0000281,P00256,3,1628.36,701.28,4183.8,3651.18
O0000281,P00227,2,391.66,112.45,670.87,438.4
O0000281,P00368,2,337.89,97.01,578.77,438.68
O0000282,P00277,1,322.08,0.0,322.08,204.22
O0000283,P00291,2,1005.14,259.58,1750.7,1102.92
O0000284,P00044,3,4351.12,652.34,12401.02,6732.18
